orthofinder_orthogroup,D55MPa1,D55MPa2,D55MPa3,D55MPa4,D0.1MPa1,D0.1MPa2,D0.1MPa3,D0.1MPa4,B55MPa1,B55MPa2,B55MPa3,B0.1MPa1,B0.1MPa2,B0.1MPa3,SPH5500D1,SPH5500D2,SPH5500D3,SPH5500D4,SPH0D1,SPH0D2,SPH0D3,SPH0D4,SPH5500B1,SPH5500B2,SPH5500B3,SPH5500B4,SPH0B1,SPH0B2,SPH0B3,SPH0B4,PSY5500D1,PSY5500D2,PSY5500D3,PSY5500D4,PSY0D1,PSY0D2,PSY0D3,PSY0D4,PSY5500B1,PSY5500B2,PSY5500B3,PSY5500B4,PSY0B1,PSY0B2,PSY0B3,PSY0B4,AE5500D1,AE5500D3,AE5500D4,AE0D1,AE0D2,AE0D3,AE0D4,AE5500B1,AE5500B2,AE5500B3,AE5500B4,AE0B1,AE0B2,AE0B3,AE0B4
OG0002288,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,0.59716174133422,0.221651305586678,0.477282350885678,0.495175895436331,2.30621833676378,2.33920161028612,2.32885573517195,2.32244194454871,0.66421214827863,0.59772982470449,0.686792326305064,0.505659053940796,2.4437922734945,2.44365240012471,2.45528029454723,2.43523485353737,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139,-0.518229824332139
OG0000166,-0.034939182276646,0.435603335111542,0.268421330417092,-0.0342965041855585,0.622807600198578,0.405992866383492,0.659388410021794,0.710199157271963,0.309985975816074,0.279835757405092,0.250732396092102,0.609330699527622,0.22005060444025,0.488793789934315,2.5635556171287,2.61275854521036,2.57235954447408,2.73637968338982,-1.3863109925561,-1.26132850151146,-1.28929892830395,-1.35062515605078,1.51871223577139,1.3153139212979,1.25024262209686,1.42917902627902,-0.715698671719022,-0.817642819386322,-0.538520438807928,-0.808913458265614,-0.0873541631209014,-0.425064379465188,-0.0693473783775669,-0.176210756838678,0.223967291013434,0.140827390289782,0.0828792687959715,0.0347745365962217,-0.514132361982207,-0.426761230800197,-0.236727910856156,-0.419131882865295,-0.193974941803964,-0.102272992289257,0.125966731271431,0.0965004598606225,-0.499105046351543,-0.38988388018629,-0.719017675765892,-0.131955055439108,-0.373199735309597,-0.298609153871564,-0.183015399286577,-1.38991534282302,-1.46259019023975,-1.7368787639541,-1.51148510160646,-0.760118569021184,-0.512671853678746,-0.574168906981149,-0.533391470117709
OG0001503,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,0.549662887211827,0.536806999324452,0.583296398259411,0.523177319131649,1.53845393416685,1.56358671767185,1.51487666932088,1.56791196253912,0.515235720072817,0.622779324210996,0.516591920112302,0.487420441600363,0.214174350734202,0.133393537933747,0.20854884415682,0.0938877407606778,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,-0.866220634344848,2.04822961107008,1.84254956309951,1.99287235404105,1.70098384627731,1.74244717621355,1.80042088199708,2.03090394122766,0.118500015117713,0.137059669880704,-0.024509920557821,0.0926100794901987,0.414363499952207,0.471853597192164,0.386692849474914,0.0618370986611679
OG0000335,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,-1.75305632461428,0.969375719513111,0.938815724898338,0.958263045867806,0.961291281674085,0.175607332272088,0.229859893214622,0.18462270104609,0.207410722174227,0.451069915530066,0.373596264462406,0.38707530154509,0.385698104082735,0.454552224323211,0.446673987689756,0.456064514279885,0.467458715412162,0.534475060262327,0.501422118217717,0.456808172141447,0.496634819382964,0.883576687084577,0.718721303235577,0.644081313614561,0.655502689836357,0.564204402175391,0.495133885113067,0.494157534980884,0.557435734282409,0.634646152541377,0.608229711575063,0.506952604932391,0.567515202709577,0.342904120952381,0.255878103719633,0.118341345819096,1.03724354155598,1.22884842230603,1.32910900054055,1.0512307403941,0.21322091020728,0.236397729507424,0.244575196080025,0.286635721056838,0.176145333507675,0.226437728051072,0.211395630653986,0.217492180176512
OG0001974,-0.0842584338968075,0.27450942686605,0.327356799522122,0.308107371663487,0.291133782529719,0.209567916803333,0.259128631899941,0.210260108770796,0.124226990944791,0.137932336165455,0.0511855180829495,0.172358808795214,0.104020966221122,0.117769740787398,0.767037566014047,0.702562873470975,0.726790312634568,0.753364176305337,1.98318445983645,2.06943672472534,2.03477494691977,2.02914111317366,0.699925211868715,0.878284478449505,0.854262851135612,0.667354910315013,2.1203631864803,2.13298845086997,2.13280600795755,2.07915305463587,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653,-0.810797751288653
OG0001086,0.283309072013143,0.716453282777366,0.274449588165349,0.618922365480022,0.187270480612002,0.335430510998974,0.392413128171936,0.224489323985046,-0.783191941760695,-0.901745963189743,-0.935856695708838,-0.863524600862527,-0.622569168838276,-0.808908590016555,0.141082662238045,0.30612533422891,0.273018906688733,0.223410640676317,1.86849622719358,1.94668445299048,1.91355979179187,1.82998543344453,0.16284271570445,0.389030092719366,0.289124991767824,0.467453637497345,0.910065350208871,0.912275350856232,0.949747064225472,0.865579378990269,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,-1.34869216961011,0.560072580749028,0.490700325853655,0.817471215077052,0.566778717462823,0.560984835398207,0.726205067741671,1.04301341183064,0.502653963362953,0.505605034640744,0.553045565132603,0.494680120732973,0.808446101620039,0.804231848645497,0.804587425261441,0.77517567720287
OG0002286,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,2.13806848161014,2.20458375551185,2.17613784118123,2.17825584243428,1.36325990708652,1.36715344666558,1.3688719868654,1.30265408035221,1.94406707057345,1.88632979577494,1.85422901635803,1.90666599215727,1.06803491055951,1.03820597113653,1.06820382610207,1.04773737290022,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205,-0.575832428828205
OG0001528,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,0.401881107302575,0.435766217498979,0.424163878236714,0.474922245381607,1.15529045651349,1.18022436256501,1.17467466656995,1.18544924884147,0.324493182188501,0.384734513338624,0.295815953565536,0.365723522223089,1.75350823292229,1.7352204320422,1.74006548433392,1.70458074671741,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,-0.962456250838746,1.03243612811885,0.982201145758532,0.984052982623561,0.95396953037983,0.933070584845308,0.91930755340661,0.895781631553272,1.00693882626727,1.04217792358703,1.05763163953026,1.06102278442032,0.800341189174597,0.787601470876558,0.807693123426107,0.872946760952911
OG0000800,1.36213236852381,1.48723313109538,1.15414119716076,1.3524507892074,0.649093998571518,0.706787560069343,0.329905888543217,0.642449821248458,0.922566544713485,0.691483824533281,0.953992663057731,1.36548719489589,1.52262378965542,1.71956633368317,-1.45417419204923,-1.38950010102628,-1.36109111147339,-1.4194508156098,1.58337956739896,1.4799232835335,1.45267839503656,1.18320422287177,-0.496106209716745,-0.344999801823118,-0.273054178307002,-0.23468814786573,0.312446702001457,0.213839601947457,0.323432303663769,0.323626402670148,0.080073312999222,-0.234845068384771,-0.0106307061460796,-0.190451943388306,-0.149590427413928,-0.463220086444021,-0.403811337872115,-0.52715380579688,0.456507759310404,0.520476598501572,0.632301989047857,0.57500636095914,0.583996238495921,0.493680281415064,0.50474114731225,0.525077892150256,-0.92091805378945,-1.21084797038432,-0.925290002864379,-1.8667710147404,-1.6839908058068,-1.81141654272041,-1.6689582671838,-0.96547188437705,-1.00425628764813,-0.764909334369762,-0.878754213925937,-0.792503682670136,-0.789258317531219,-0.812461708257742,-1.0557311446872
OG0000920,-0.96486430995436,-0.980792699882906,-1.14458006033148,-0.968194158921562,-0.887045981899179,-0.924924969247052,-0.575172495925095,-0.955202390569844,-0.0549668882690644,-0.329157366836867,0.508670492038983,-0.0374641735039246,0.0076190083825987,-0.0403675821650589,2.34839529647876,2.32918005270431,2.39962441298503,2.34904105422628,-1.83359760223269,-1.83646073107646,-1.74028247806316,-1.78183657354284,1.74380701017171,1.08537603465256,1.43250124672526,1.20342841306892,-1.06130958629667,-1.02063132387162,-1.00869727993666,-1.09380209949771,-0.0772130223352457,-0.115377635179216,0.071085266022148,-0.135197885739432,0.371726482725108,0.453892096838381,0.415008891451175,0.181820380046587,-0.412892482597695,-0.268236795932771,-0.185461883829287,-0.30965307430096,-0.197006935903697,-0.124640261214984,-0.0837018131495122,-0.106342049145723,0.404097674050168,0.319641162911709,-0.0848039179209079,0.524633649313305,0.0643795263277187,-0.180623091857828,-0.0292256898569547,1.0005039070056,0.97893213282766,0.832837896710837,0.928471189350024,-0.177534805608524,-0.323390826597417,-0.134474811220776,0.230454457400321
