"strain","orthofinder_orthogroup","sample","raw_count"
"Halomonas","OG0001414","B0.1MPa1",218
"Halomonas","OG0001415","B0.1MPa1",536
"Halomonas","OG0001416","B0.1MPa1",303
"Halomonas","OG0001417","B0.1MPa1",188
"Halomonas","OG0001418","B0.1MPa1",279
"Halomonas","OG0001419","B0.1MPa1",1486
"Halomonas","OG0001420","B0.1MPa1",68
"Halomonas","OG0001421","B0.1MPa1",173
"Halomonas","OG0001422","B0.1MPa1",1412
"Halomonas","OG0001423","B0.1MPa1",1323
"Halomonas","OG0001424","B0.1MPa1",1606
"Halomonas","OG0001425","B0.1MPa1",1127
"Halomonas","OG0001426","B0.1MPa1",337
"Halomonas","OG0001427","B0.1MPa1",2089
"Halomonas","OG0001428","B0.1MPa1",84
"Halomonas","OG0001429","B0.1MPa1",1338
"Halomonas","OG0001430","B0.1MPa1",2086
"Halomonas","OG0001431","B0.1MPa1",1148
"Halomonas","OG0001432","B0.1MPa1",4104
"Halomonas","OG0001433","B0.1MPa1",4154
"Halomonas","OG0001434","B0.1MPa1",1294
"Halomonas","OG0001435","B0.1MPa1",781
"Halomonas","OG0001436","B0.1MPa1",8240
"Halomonas","OG0001437","B0.1MPa1",822
"Halomonas","OG0001438","B0.1MPa1",741
"Halomonas","OG0001439","B0.1MPa1",153
"Halomonas","OG0001440","B0.1MPa1",168
"Halomonas","OG0001441","B0.1MPa1",192
"Halomonas","OG0001442","B0.1MPa1",3432
"Halomonas","OG0001443","B0.1MPa1",3238
"Halomonas","OG0001444","B0.1MPa1",2567
"Halomonas","OG0001445","B0.1MPa1",3693
"Halomonas","OG0001446","B0.1MPa1",214
"Halomonas","OG0001447","B0.1MPa1",436
"Halomonas","OG0001448","B0.1MPa1",491
"Halomonas","OG0001449","B0.1MPa1",628
"Halomonas","OG0001508","B0.1MPa1",117
"Halomonas","OG0001511","B0.1MPa1",647
"Halomonas","OG0001512","B0.1MPa1",101
"Halomonas","OG0001513","B0.1MPa1",35011
"Halomonas","OG0001515","B0.1MPa1",257
"Halomonas","OG0001516","B0.1MPa1",626
"Halomonas","OG0001517","B0.1MPa1",542
"Halomonas","OG0001521","B0.1MPa1",630
"Halomonas","OG0001523","B0.1MPa1",9
"Halomonas","OG0001531","B0.1MPa1",496
"Halomonas","OG0001532","B0.1MPa1",1761
"Halomonas","OG0001536","B0.1MPa1",733
"Halomonas","OG0001538","B0.1MPa1",73
"Halomonas","OG0001542","B0.1MPa1",309
"Halomonas","OG0001543","B0.1MPa1",383
"Halomonas","OG0001547","B0.1MPa1",11382
"Halomonas","OG0001548","B0.1MPa1",425
"Halomonas","OG0001550","B0.1MPa1",889
"Halomonas","OG0001557","B0.1MPa1",116
"Halomonas","OG0001558","B0.1MPa1",845
"Halomonas","OG0001565","B0.1MPa1",218
"Halomonas","OG0001566","B0.1MPa1",342
"Halomonas","OG0001571","B0.1MPa1",34
"Halomonas","OG0001576","B0.1MPa1",628
"Halomonas","OG0001580","B0.1MPa1",1242
"Halomonas","OG0001584","B0.1MPa1",1202
"Halomonas","OG0001585","B0.1MPa1",578
"Halomonas","OG0001588","B0.1MPa1",239
"Halomonas","OG0001600","B0.1MPa1",2802
"Halomonas","OG0001608","B0.1MPa1",384
"Halomonas","OG0001611","B0.1MPa1",197
"Halomonas","OG0001615","B0.1MPa1",807
"Halomonas","OG0001625","B0.1MPa1",43
"Halomonas","OG0001628","B0.1MPa1",98
"Halomonas","OG0001630","B0.1MPa1",207
"Halomonas","OG0001637","B0.1MPa1",347
"Halomonas","OG0001638","B0.1MPa1",259
"Halomonas","OG0001651","B0.1MPa1",115
"Halomonas","OG0001664","B0.1MPa1",534
"Halomonas","OG0001667","B0.1MPa1",150
"Halomonas","OG0001671","B0.1MPa1",448
"Halomonas","OG0001682","B0.1MPa1",303
"Halomonas","OG0001688","B0.1MPa1",293
"Halomonas","OG0001697","B0.1MPa1",672
"Halomonas","OG0001706","B0.1MPa1",3
"Halomonas","OG0001707","B0.1MPa1",180
"Halomonas","OG0001708","B0.1MPa1",2003
"Halomonas","OG0001709","B0.1MPa1",469
"Halomonas","OG0001711","B0.1MPa1",13
"Halomonas","OG0001712","B0.1MPa1",130
"Halomonas","OG0001713","B0.1MPa1",96
"Halomonas","OG0001715","B0.1MPa1",534
"Halomonas","OG0001716","B0.1MPa1",160
"Halomonas","OG0001717","B0.1MPa1",15
"Halomonas","OG0001722","B0.1MPa1",1067
"Halomonas","OG0001730","B0.1MPa1",113
"Halomonas","OG0001734","B0.1MPa1",119
"Halomonas","OG0001737","B0.1MPa1",913
"Halomonas","OG0001740","B0.1MPa1",609
"Halomonas","OG0001743","B0.1MPa1",586
"Halomonas","OG0001748","B0.1MPa1",3
"Halomonas","OG0001750","B0.1MPa1",114
"Halomonas","OG0001756","B0.1MPa1",80
"Halomonas","OG0001768","B0.1MPa1",315
"Halomonas","OG0001769","B0.1MPa1",868
"Halomonas","OG0001770","B0.1MPa1",122
"Halomonas","OG0001771","B0.1MPa1",56
"Halomonas","OG0001772","B0.1MPa1",3081
"Halomonas","OG0001773","B0.1MPa1",573
"Halomonas","OG0001774","B0.1MPa1",118
"Halomonas","OG0001775","B0.1MPa1",412
"Halomonas","OG0001776","B0.1MPa1",57
"Halomonas","OG0001777","B0.1MPa1",215
"Halomonas","OG0001778","B0.1MPa1",277
"Halomonas","OG0001779","B0.1MPa1",138
"Halomonas","OG0001780","B0.1MPa1",1843
"Halomonas","OG0001781","B0.1MPa1",281
"Halomonas","OG0001782","B0.1MPa1",637
"Halomonas","OG0001783","B0.1MPa1",890
"Halomonas","OG0001784","B0.1MPa1",1874
"Halomonas","OG0001785","B0.1MPa1",453
"Halomonas","OG0001786","B0.1MPa1",10
"Halomonas","OG0001787","B0.1MPa1",82
"Halomonas","OG0001788","B0.1MPa1",34
"Halomonas","OG0001789","B0.1MPa1",3
"Halomonas","OG0001790","B0.1MPa1",3961
"Halomonas","OG0001791","B0.1MPa1",1046
"Halomonas","OG0001792","B0.1MPa1",29372
"Halomonas","OG0001793","B0.1MPa1",581
"Halomonas","OG0001794","B0.1MPa1",465
"Halomonas","OG0001795","B0.1MPa1",258
"Halomonas","OG0001796","B0.1MPa1",1372
"Halomonas","OG0001797","B0.1MPa1",903
"Halomonas","OG0001798","B0.1MPa1",410
"Halomonas","OG0001799","B0.1MPa1",612
"Halomonas","OG0001800","B0.1MPa1",1508
"Halomonas","OG0001801","B0.1MPa1",560
"Halomonas","OG0001802","B0.1MPa1",1209
"Halomonas","OG0001803","B0.1MPa1",706
"Halomonas","OG0001804","B0.1MPa1",2127
"Halomonas","OG0001805","B0.1MPa1",651
"Halomonas","OG0001806","B0.1MPa1",8495
"Halomonas","OG0001807","B0.1MPa1",253
"Halomonas","OG0001808","B0.1MPa1",62
"Halomonas","OG0001809","B0.1MPa1",0
"Halomonas","OG0001810","B0.1MPa1",522
"Halomonas","OG0001811","B0.1MPa1",2642
"Halomonas","OG0001812","B0.1MPa1",3
"Halomonas","OG0001813","B0.1MPa1",116
"Halomonas","OG0001814","B0.1MPa1",398
"Halomonas","OG0001815","B0.1MPa1",1715
"Halomonas","OG0001816","B0.1MPa1",232
"Halomonas","OG0001817","B0.1MPa1",974
"Halomonas","OG0001818","B0.1MPa1",2046
"Halomonas","OG0001819","B0.1MPa1",2864
"Halomonas","OG0001820","B0.1MPa1",2
"Halomonas","OG0001821","B0.1MPa1",38
"Halomonas","OG0001822","B0.1MPa1",12952
"Halomonas","OG0001823","B0.1MPa1",2209
"Halomonas","OG0001824","B0.1MPa1",59
"Halomonas","OG0001825","B0.1MPa1",12
"Halomonas","OG0001826","B0.1MPa1",13
"Halomonas","OG0001827","B0.1MPa1",291
"Halomonas","OG0001828","B0.1MPa1",1012
"Halomonas","OG0001829","B0.1MPa1",406
"Halomonas","OG0001830","B0.1MPa1",1060
"Halomonas","OG0001831","B0.1MPa1",489
"Halomonas","OG0001832","B0.1MPa1",9
"Halomonas","OG0001833","B0.1MPa1",109
"Halomonas","OG0001834","B0.1MPa1",22
"Halomonas","OG0001835","B0.1MPa1",45
"Halomonas","OG0001836","B0.1MPa1",732
"Halomonas","OG0001837","B0.1MPa1",119
"Halomonas","OG0001838","B0.1MPa1",192
"Halomonas","OG0001839","B0.1MPa1",13
"Halomonas","OG0001840","B0.1MPa1",74
"Halomonas","OG0001841","B0.1MPa1",129
"Halomonas","OG0001842","B0.1MPa1",739
"Halomonas","OG0001843","B0.1MPa1",181
"Halomonas","OG0001844","B0.1MPa1",78
"Halomonas","OG0001845","B0.1MPa1",5
"Halomonas","OG0001846","B0.1MPa1",47
"Halomonas","OG0001847","B0.1MPa1",104
"Halomonas","OG0001848","B0.1MPa1",155
"Halomonas","OG0001849","B0.1MPa1",3
"Halomonas","OG0001850","B0.1MPa1",2475
"Halomonas","OG0001851","B0.1MPa1",102
"Halomonas","OG0001852","B0.1MPa1",2391
"Halomonas","OG0001853","B0.1MPa1",124
"Halomonas","OG0001854","B0.1MPa1",10250
"Halomonas","OG0001855","B0.1MPa1",686
"Halomonas","OG0001856","B0.1MPa1",123
"Halomonas","OG0001857","B0.1MPa1",758
"Halomonas","OG0001858","B0.1MPa1",1050
"Halomonas","OG0001859","B0.1MPa1",142
"Halomonas","OG0001860","B0.1MPa1",2470
"Halomonas","OG0001861","B0.1MPa1",841
"Halomonas","OG0001862","B0.1MPa1",733
"Halomonas","OG0001863","B0.1MPa1",565
"Halomonas","OG0001864","B0.1MPa1",323
"Halomonas","OG0001865","B0.1MPa1",116
"Halomonas","OG0001866","B0.1MPa1",251
"Halomonas","OG0001867","B0.1MPa1",157
"Halomonas","OG0001868","B0.1MPa1",57
"Halomonas","OG0001869","B0.1MPa1",8
"Halomonas","OG0001870","B0.1MPa1",111
"Halomonas","OG0001871","B0.1MPa1",132
"Halomonas","OG0001872","B0.1MPa1",3195
"Halomonas","OG0001873","B0.1MPa1",187
"Halomonas","OG0001874","B0.1MPa1",82
"Halomonas","OG0001875","B0.1MPa1",89
"Halomonas","OG0001876","B0.1MPa1",1238
"Halomonas","OG0001877","B0.1MPa1",384
"Halomonas","OG0001878","B0.1MPa1",7742
"Halomonas","OG0001879","B0.1MPa1",1003
"Halomonas","OG0001880","B0.1MPa1",1631
"Halomonas","OG0001881","B0.1MPa1",104
"Halomonas","OG0001882","B0.1MPa1",1495
"Halomonas","OG0001883","B0.1MPa1",186
"Halomonas","OG0001884","B0.1MPa1",2708
"Halomonas","OG0001885","B0.1MPa1",304
"Halomonas","OG0001886","B0.1MPa1",5597
"Halomonas","OG0001887","B0.1MPa1",930
"Halomonas","OG0001888","B0.1MPa1",198
"Halomonas","OG0001889","B0.1MPa1",254
"Halomonas","OG0001890","B0.1MPa1",368
"Halomonas","OG0001891","B0.1MPa1",27
"Halomonas","OG0001892","B0.1MPa1",259
"Halomonas","OG0001893","B0.1MPa1",27
"Halomonas","OG0001894","B0.1MPa1",80
"Halomonas","OG0001895","B0.1MPa1",237
"Halomonas","OG0001896","B0.1MPa1",317
"Halomonas","OG0001897","B0.1MPa1",940
"Halomonas","OG0001898","B0.1MPa1",370
"Halomonas","OG0001899","B0.1MPa1",61
"Halomonas","OG0001900","B0.1MPa1",249
"Halomonas","OG0001901","B0.1MPa1",452
"Halomonas","OG0001902","B0.1MPa1",600
"Halomonas","OG0001903","B0.1MPa1",147
"Halomonas","OG0001904","B0.1MPa1",395
"Halomonas","OG0001905","B0.1MPa1",1728
"Halomonas","OG0001906","B0.1MPa1",229
"Halomonas","OG0001907","B0.1MPa1",188
"Halomonas","OG0001908","B0.1MPa1",9483
"Halomonas","OG0001909","B0.1MPa1",6838
"Halomonas","OG0001910","B0.1MPa1",707
"Halomonas","OG0001911","B0.1MPa1",690
"Halomonas","OG0001912","B0.1MPa1",57
"Halomonas","OG0001913","B0.1MPa1",3
"Halomonas","OG0001914","B0.1MPa1",44
"Halomonas","OG0001915","B0.1MPa1",1267
"Halomonas","OG0001916","B0.1MPa1",4420
"Halomonas","OG0001917","B0.1MPa1",121
"Halomonas","OG0001918","B0.1MPa1",362
"Halomonas","OG0001919","B0.1MPa1",423
"Halomonas","OG0001920","B0.1MPa1",318
"Halomonas","OG0001921","B0.1MPa1",68
"Halomonas","OG0001922","B0.1MPa1",250
"Halomonas","OG0001923","B0.1MPa1",1341
"Halomonas","OG0001924","B0.1MPa1",18
"Halomonas","OG0001925","B0.1MPa1",398
"Halomonas","OG0001926","B0.1MPa1",147
"Halomonas","OG0001927","B0.1MPa1",714
"Halomonas","OG0001928","B0.1MPa1",93
"Halomonas","OG0001929","B0.1MPa1",3977
"Halomonas","OG0001930","B0.1MPa1",32
"Halomonas","OG0001931","B0.1MPa1",126
"Halomonas","OG0001932","B0.1MPa1",164
"Halomonas","OG0001933","B0.1MPa1",36
"Halomonas","OG0001934","B0.1MPa1",235
"Halomonas","OG0001935","B0.1MPa1",309
"Halomonas","OG0001936","B0.1MPa1",97
"Halomonas","OG0001937","B0.1MPa1",1253
"Halomonas","OG0001938","B0.1MPa1",64
"Halomonas","OG0001939","B0.1MPa1",53
"Halomonas","OG0001940","B0.1MPa1",2
"Halomonas","OG0001941","B0.1MPa1",46
"Halomonas","OG0001942","B0.1MPa1",611
"Halomonas","OG0001943","B0.1MPa1",242
"Halomonas","OG0001944","B0.1MPa1",795
"Halomonas","OG0001945","B0.1MPa1",591
"Halomonas","OG0001946","B0.1MPa1",4
"Halomonas","OG0001947","B0.1MPa1",42071
"Halomonas","OG0001948","B0.1MPa1",181
"Halomonas","OG0001949","B0.1MPa1",964
"Halomonas","OG0001950","B0.1MPa1",625
"Halomonas","OG0001951","B0.1MPa1",4402
"Halomonas","OG0001952","B0.1MPa1",23242
"Halomonas","OG0001953","B0.1MPa1",107
"Halomonas","OG0001954","B0.1MPa1",249
"Halomonas","OG0001955","B0.1MPa1",435
"Halomonas","OG0001956","B0.1MPa1",214
"Halomonas","OG0001957","B0.1MPa1",207
"Halomonas","OG0001958","B0.1MPa1",448
"Halomonas","OG0001959","B0.1MPa1",200
"Halomonas","OG0001960","B0.1MPa1",624
"Halomonas","OG0001961","B0.1MPa1",398
"Halomonas","OG0001962","B0.1MPa1",503
"Halomonas","OG0001963","B0.1MPa1",227
"Halomonas","OG0001964","B0.1MPa1",229
"Halomonas","OG0001965","B0.1MPa1",506
"Halomonas","OG0001966","B0.1MPa1",385
"Halomonas","OG0001967","B0.1MPa1",244
"Halomonas","OG0001968","B0.1MPa1",141
"Halomonas","OG0001969","B0.1MPa1",65
"Halomonas","OG0001970","B0.1MPa1",4285
"Halomonas","OG0001971","B0.1MPa1",634
"Halomonas","OG0001972","B0.1MPa1",79
"Halomonas","OG0001973","B0.1MPa1",319
"Halomonas","OG0001974","B0.1MPa1",49
"Halomonas","OG0001975","B0.1MPa1",125
"Halomonas","OG0001976","B0.1MPa1",113
"Halomonas","OG0001977","B0.1MPa1",168
"Halomonas","OG0001978","B0.1MPa1",307
"Halomonas","OG0001979","B0.1MPa1",1205
"Halomonas","OG0001980","B0.1MPa1",645
"Halomonas","OG0001981","B0.1MPa1",62
"Halomonas","OG0001982","B0.1MPa1",71
"Halomonas","OG0001983","B0.1MPa1",32
"Halomonas","OG0001984","B0.1MPa1",151
"Halomonas","OG0001985","B0.1MPa1",61
"Halomonas","OG0001986","B0.1MPa1",319
"Halomonas","OG0001987","B0.1MPa1",386
"Halomonas","OG0001988","B0.1MPa1",817
"Halomonas","OG0001989","B0.1MPa1",1047
"Halomonas","OG0001990","B0.1MPa1",3558
"Halomonas","OG0001991","B0.1MPa1",229
"Halomonas","OG0001992","B0.1MPa1",407
"Halomonas","OG0001993","B0.1MPa1",1303
"Halomonas","OG0001994","B0.1MPa1",111
"Halomonas","OG0001995","B0.1MPa1",848
"Halomonas","OG0001996","B0.1MPa1",575
"Halomonas","OG0001997","B0.1MPa1",741
"Halomonas","OG0001998","B0.1MPa1",219
"Halomonas","OG0001999","B0.1MPa1",115
"Halomonas","OG0002000","B0.1MPa1",7
"Halomonas","OG0002001","B0.1MPa1",55
"Halomonas","OG0002002","B0.1MPa1",1025
"Halomonas","OG0002003","B0.1MPa1",855
"Halomonas","OG0002004","B0.1MPa1",1880
"Halomonas","OG0002005","B0.1MPa1",2150
"Halomonas","OG0002006","B0.1MPa1",1270
"Halomonas","OG0002007","B0.1MPa1",687
"Halomonas","OG0002008","B0.1MPa1",835
"Halomonas","OG0002009","B0.1MPa1",968
"Halomonas","OG0002010","B0.1MPa1",282
"Halomonas","OG0002011","B0.1MPa1",170
"Halomonas","OG0002012","B0.1MPa1",434
"Halomonas","OG0002013","B0.1MPa1",21
"Halomonas","OG0002014","B0.1MPa1",254
"Halomonas","OG0002015","B0.1MPa1",147
"Halomonas","OG0002016","B0.1MPa1",4537
"Halomonas","OG0002017","B0.1MPa1",45
"Halomonas","OG0002018","B0.1MPa1",110
"Halomonas","OG0002019","B0.1MPa1",534
"Halomonas","OG0002020","B0.1MPa1",297
"Halomonas","OG0002021","B0.1MPa1",933
"Halomonas","OG0002022","B0.1MPa1",1296
"Halomonas","OG0002023","B0.1MPa1",2533
"Halomonas","OG0002024","B0.1MPa1",1370
"Halomonas","OG0002025","B0.1MPa1",598
"Halomonas","OG0002026","B0.1MPa1",649
"Halomonas","OG0002027","B0.1MPa1",196
"Halomonas","OG0002028","B0.1MPa1",127
"Halomonas","OG0002029","B0.1MPa1",9
"Halomonas","OG0002030","B0.1MPa1",6505
"Halomonas","OG0002031","B0.1MPa1",45
"Halomonas","OG0002032","B0.1MPa1",213
"Halomonas","OG0002033","B0.1MPa1",115
"Halomonas","OG0002034","B0.1MPa1",5596
"Halomonas","OG0002035","B0.1MPa1",38
"Halomonas","OG0002036","B0.1MPa1",14
"Halomonas","OG0002037","B0.1MPa1",447
"Halomonas","OG0002038","B0.1MPa1",249
"Halomonas","OG0002039","B0.1MPa1",166
"Halomonas","OG0002040","B0.1MPa1",1128
"Halomonas","OG0002041","B0.1MPa1",427
"Halomonas","OG0002042","B0.1MPa1",186
"Halomonas","OG0002043","B0.1MPa1",105
"Halomonas","OG0002044","B0.1MPa1",237
"Halomonas","OG0002045","B0.1MPa1",75
"Halomonas","OG0002046","B0.1MPa1",55
"Halomonas","OG0002047","B0.1MPa1",324
"Halomonas","OG0002048","B0.1MPa1",931
"Halomonas","OG0002049","B0.1MPa1",111
"Halomonas","OG0002050","B0.1MPa1",1600
"Halomonas","OG0002051","B0.1MPa1",393
"Halomonas","OG0002052","B0.1MPa1",333
"Halomonas","OG0002053","B0.1MPa1",2499
"Halomonas","OG0002054","B0.1MPa1",1881
"Halomonas","OG0002055","B0.1MPa1",3752
"Halomonas","OG0002056","B0.1MPa1",289
"Halomonas","OG0002057","B0.1MPa1",180
"Halomonas","OG0002058","B0.1MPa1",587
"Halomonas","OG0002059","B0.1MPa1",1790
"Halomonas","OG0002060","B0.1MPa1",2
"Halomonas","OG0002061","B0.1MPa1",80
"Halomonas","OG0002062","B0.1MPa1",622
"Halomonas","OG0002063","B0.1MPa1",1024
"Halomonas","OG0002064","B0.1MPa1",552
"Halomonas","OG0002065","B0.1MPa1",384
"Halomonas","OG0002066","B0.1MPa1",462
"Halomonas","OG0002067","B0.1MPa1",128
"Halomonas","OG0002068","B0.1MPa1",738
"Halomonas","OG0002069","B0.1MPa1",79
"Halomonas","OG0002070","B0.1MPa1",90
"Halomonas","OG0002071","B0.1MPa1",668
"Halomonas","OG0002072","B0.1MPa1",248
"Halomonas","OG0002073","B0.1MPa1",71
"Halomonas","OG0002074","B0.1MPa1",551
"Halomonas","OG0002075","B0.1MPa1",293
"Halomonas","OG0002076","B0.1MPa1",16
"Halomonas","OG0002077","B0.1MPa1",2671
"Halomonas","OG0002078","B0.1MPa1",1691
"Halomonas","OG0002079","B0.1MPa1",214
"Halomonas","OG0002080","B0.1MPa1",291
"Halomonas","OG0002081","B0.1MPa1",37
"Halomonas","OG0002082","B0.1MPa1",164
"Halomonas","OG0002083","B0.1MPa1",103
"Halomonas","OG0002084","B0.1MPa1",224
"Halomonas","OG0002085","B0.1MPa1",69
"Halomonas","OG0002086","B0.1MPa1",347
"Halomonas","OG0002087","B0.1MPa1",32
"Halomonas","OG0002088","B0.1MPa1",3
"Halomonas","OG0002089","B0.1MPa1",20
"Halomonas","OG0002090","B0.1MPa1",943
"Halomonas","OG0002091","B0.1MPa1",221
"Halomonas","OG0002092","B0.1MPa1",583
"Halomonas","OG0002093","B0.1MPa1",215
"Halomonas","OG0002094","B0.1MPa1",65
"Halomonas","OG0002095","B0.1MPa1",578
"Halomonas","OG0002096","B0.1MPa1",215
"Halomonas","OG0002097","B0.1MPa1",828
"Halomonas","OG0002098","B0.1MPa1",411
"Halomonas","OG0002099","B0.1MPa1",50
"Halomonas","OG0002100","B0.1MPa1",508
"Halomonas","OG0002101","B0.1MPa1",942
"Halomonas","OG0002102","B0.1MPa1",665
"Halomonas","OG0002103","B0.1MPa1",1
"Halomonas","OG0002104","B0.1MPa1",1852
"Halomonas","OG0002105","B0.1MPa1",108
"Halomonas","OG0002106","B0.1MPa1",388
"Halomonas","OG0002107","B0.1MPa1",68
"Halomonas","OG0002108","B0.1MPa1",41
"Halomonas","OG0002109","B0.1MPa1",546
"Halomonas","OG0002110","B0.1MPa1",91
"Halomonas","OG0002111","B0.1MPa1",872
"Halomonas","OG0002112","B0.1MPa1",773
"Halomonas","OG0002113","B0.1MPa1",252
"Halomonas","OG0002114","B0.1MPa1",65
"Halomonas","OG0002115","B0.1MPa1",532
"Halomonas","OG0002116","B0.1MPa1",226
"Halomonas","OG0002117","B0.1MPa1",15
"Halomonas","OG0002118","B0.1MPa1",52
"Halomonas","OG0002119","B0.1MPa1",139
"Halomonas","OG0002120","B0.1MPa1",1576
"Halomonas","OG0002121","B0.1MPa1",4918
"Halomonas","OG0002122","B0.1MPa1",241
"Halomonas","OG0002123","B0.1MPa1",3094
"Halomonas","OG0002124","B0.1MPa1",269
"Halomonas","OG0002125","B0.1MPa1",34
"Halomonas","OG0002126","B0.1MPa1",55
"Halomonas","OG0002127","B0.1MPa1",1047
"Halomonas","OG0002128","B0.1MPa1",361
"Halomonas","OG0002129","B0.1MPa1",314
"Halomonas","OG0002130","B0.1MPa1",682
"Halomonas","OG0002131","B0.1MPa1",423
"Halomonas","OG0002132","B0.1MPa1",1902
"Halomonas","OG0002133","B0.1MPa1",4087
"Halomonas","OG0002134","B0.1MPa1",430
"Halomonas","OG0002135","B0.1MPa1",90
"Halomonas","OG0002136","B0.1MPa1",722
"Halomonas","OG0002137","B0.1MPa1",10
"Halomonas","OG0002138","B0.1MPa1",99
"Halomonas","OG0002139","B0.1MPa1",380
"Halomonas","OG0002140","B0.1MPa1",289
"Halomonas","OG0002141","B0.1MPa1",77
"Halomonas","OG0002143","B0.1MPa1",68
"Halomonas","OG0002144","B0.1MPa1",263
"Halomonas","OG0002145","B0.1MPa1",1243
"Halomonas","OG0002146","B0.1MPa1",39
"Halomonas","OG0002147","B0.1MPa1",27
"Halomonas","OG0002148","B0.1MPa1",70
"Halomonas","OG0002150","B0.1MPa1",408
"Halomonas","OG0002151","B0.1MPa1",776
"Halomonas","OG0002152","B0.1MPa1",122
"Halomonas","OG0002153","B0.1MPa1",393
"Halomonas","OG0002154","B0.1MPa1",40
"Halomonas","OG0002155","B0.1MPa1",10
"Halomonas","OG0000001","B0.1MPa2",8745
"Halomonas","OG0000002","B0.1MPa2",11533
"Halomonas","OG0000003","B0.1MPa2",6026
"Halomonas","OG0000004","B0.1MPa2",3616
"Halomonas","OG0000006","B0.1MPa2",10384
"Halomonas","OG0000007","B0.1MPa2",12856
"Halomonas","OG0000008","B0.1MPa2",1976
"Halomonas","OG0000010","B0.1MPa2",2832
"Halomonas","OG0000011","B0.1MPa2",9426
"Halomonas","OG0000012","B0.1MPa2",1261
"Halomonas","OG0000013","B0.1MPa2",28839
"Halomonas","OG0000015","B0.1MPa2",4056
"Halomonas","OG0000016","B0.1MPa2",2365
"Halomonas","OG0000017","B0.1MPa2",2908
"Halomonas","OG0000018","B0.1MPa2",4335
"Halomonas","OG0000020","B0.1MPa2",928
"Halomonas","OG0000021","B0.1MPa2",1468
"Halomonas","OG0000022","B0.1MPa2",5807
"Halomonas","OG0000023","B0.1MPa2",1325
"Halomonas","OG0000024","B0.1MPa2",923
"Halomonas","OG0000025","B0.1MPa2",2246
"Halomonas","OG0000026","B0.1MPa2",703
"Halomonas","OG0000027","B0.1MPa2",8099
"Halomonas","OG0000029","B0.1MPa2",871
"Halomonas","OG0000030","B0.1MPa2",1632
"Halomonas","OG0000031","B0.1MPa2",787
"Halomonas","OG0000032","B0.1MPa2",306
"Halomonas","OG0000033","B0.1MPa2",919
"Halomonas","OG0000034","B0.1MPa2",16
"Halomonas","OG0000035","B0.1MPa2",34
"Halomonas","OG0000036","B0.1MPa2",9683
"Halomonas","OG0000037","B0.1MPa2",14098
"Halomonas","OG0000039","B0.1MPa2",5556
"Halomonas","OG0000040","B0.1MPa2",2694
"Halomonas","OG0000041","B0.1MPa2",3350
"Halomonas","OG0000042","B0.1MPa2",9
"Halomonas","OG0000044","B0.1MPa2",1053
"Halomonas","OG0000045","B0.1MPa2",3585
"Halomonas","OG0000046","B0.1MPa2",332
"Halomonas","OG0000047","B0.1MPa2",4017
"Halomonas","OG0000048","B0.1MPa2",0
"Halomonas","OG0000049","B0.1MPa2",973
"Halomonas","OG0000050","B0.1MPa2",822
"Halomonas","OG0000051","B0.1MPa2",1707
"Halomonas","OG0000052","B0.1MPa2",15
"Halomonas","OG0000053","B0.1MPa2",2626
"Halomonas","OG0000054","B0.1MPa2",5989
"Halomonas","OG0000056","B0.1MPa2",4195
"Halomonas","OG0000057","B0.1MPa2",3172
"Halomonas","OG0000059","B0.1MPa2",440
"Halomonas","OG0000060","B0.1MPa2",1766
"Halomonas","OG0000061","B0.1MPa2",3588
"Halomonas","OG0000062","B0.1MPa2",879
"Halomonas","OG0000063","B0.1MPa2",488
"Halomonas","OG0000064","B0.1MPa2",149
"Halomonas","OG0000065","B0.1MPa2",4551
"Halomonas","OG0000066","B0.1MPa2",1463
"Halomonas","OG0000067","B0.1MPa2",453
"Halomonas","OG0000068","B0.1MPa2",514
"Halomonas","OG0000069","B0.1MPa2",185
"Halomonas","OG0000070","B0.1MPa2",999
"Halomonas","OG0000071","B0.1MPa2",524
"Halomonas","OG0000072","B0.1MPa2",293
"Halomonas","OG0000073","B0.1MPa2",100050
"Halomonas","OG0000074","B0.1MPa2",555
"Halomonas","OG0000075","B0.1MPa2",500
"Halomonas","OG0000076","B0.1MPa2",5798
"Halomonas","OG0000077","B0.1MPa2",5917
"Halomonas","OG0000078","B0.1MPa2",6885
"Halomonas","OG0000081","B0.1MPa2",537
"Halomonas","OG0000082","B0.1MPa2",107
"Halomonas","OG0000083","B0.1MPa2",1617
"Halomonas","OG0000084","B0.1MPa2",424
"Halomonas","OG0000085","B0.1MPa2",225
"Halomonas","OG0000086","B0.1MPa2",21830
"Halomonas","OG0000087","B0.1MPa2",16625
"Halomonas","OG0000088","B0.1MPa2",1576
"Halomonas","OG0000089","B0.1MPa2",573
"Halomonas","OG0000091","B0.1MPa2",7774
"Halomonas","OG0000092","B0.1MPa2",25941
"Halomonas","OG0000093","B0.1MPa2",736
"Halomonas","OG0000094","B0.1MPa2",105
"Halomonas","OG0000096","B0.1MPa2",3740
"Halomonas","OG0000097","B0.1MPa2",1087
"Halomonas","OG0000098","B0.1MPa2",2407
"Halomonas","OG0000099","B0.1MPa2",257
"Halomonas","OG0000100","B0.1MPa2",30895
"Halomonas","OG0000101","B0.1MPa2",1193
"Halomonas","OG0000102","B0.1MPa2",981
"Halomonas","OG0000103","B0.1MPa2",8815
