"strain","orthofinder_orthogroup","sample","raw_count"
"Halomonas","OG0000167","D55MPa1",7720
"Halomonas","OG0000168","D55MPa1",199
"Halomonas","OG0000169","D55MPa1",465
"Halomonas","OG0000170","D55MPa1",5280
"Halomonas","OG0000171","D55MPa1",508
"Halomonas","OG0000172","D55MPa1",796
"Halomonas","OG0000173","D55MPa1",1467
"Halomonas","OG0000174","D55MPa1",517
"Halomonas","OG0000175","D55MPa1",1295
"Halomonas","OG0000176","D55MPa1",3820
"Halomonas","OG0000177","D55MPa1",24707
"Halomonas","OG0000178","D55MPa1",147
"Halomonas","OG0000179","D55MPa1",424
"Halomonas","OG0000180","D55MPa1",1337
"Halomonas","OG0000181","D55MPa1",751
"Halomonas","OG0000182","D55MPa1",7687
"Halomonas","OG0000183","D55MPa1",66
"Halomonas","OG0000184","D55MPa1",840
"Halomonas","OG0000185","D55MPa1",724
"Halomonas","OG0000186","D55MPa1",455
"Halomonas","OG0000187","D55MPa1",3871
"Halomonas","OG0000188","D55MPa1",2235
"Halomonas","OG0000189","D55MPa1",631
"Halomonas","OG0000190","D55MPa1",1463
"Halomonas","OG0000191","D55MPa1",87
"Halomonas","OG0000200","D55MPa1",3658
"Halomonas","OG0000201","D55MPa1",616
"Halomonas","OG0000203","D55MPa1",138
"Halomonas","OG0000207","D55MPa1",5780
"Halomonas","OG0000208","D55MPa1",401
"Halomonas","OG0000209","D55MPa1",1484
"Halomonas","OG0000210","D55MPa1",636
"Halomonas","OG0000211","D55MPa1",2255
"Halomonas","OG0000212","D55MPa1",5913
"Halomonas","OG0000213","D55MPa1",953
"Halomonas","OG0000214","D55MPa1",757
"Halomonas","OG0000216","D55MPa1",611
"Halomonas","OG0000217","D55MPa1",1289
"Halomonas","OG0000218","D55MPa1",2432
"Halomonas","OG0000219","D55MPa1",586
"Halomonas","OG0000220","D55MPa1",3661
"Halomonas","OG0000222","D55MPa1",551
"Halomonas","OG0000223","D55MPa1",801
"Halomonas","OG0000224","D55MPa1",158
"Halomonas","OG0000225","D55MPa1",224
"Halomonas","OG0000227","D55MPa1",6819
"Halomonas","OG0000228","D55MPa1",3067
"Halomonas","OG0000229","D55MPa1",221
"Halomonas","OG0000230","D55MPa1",2602
"Halomonas","OG0000231","D55MPa1",637
"Halomonas","OG0000232","D55MPa1",354
"Halomonas","OG0000233","D55MPa1",118
"Halomonas","OG0000234","D55MPa1",336
"Halomonas","OG0000235","D55MPa1",19843
"Halomonas","OG0000236","D55MPa1",1722
"Halomonas","OG0000237","D55MPa1",474
"Halomonas","OG0000238","D55MPa1",166
"Halomonas","OG0000239","D55MPa1",10414
"Halomonas","OG0000240","D55MPa1",1354
"Halomonas","OG0000241","D55MPa1",17950
"Halomonas","OG0000242","D55MPa1",4151
"Halomonas","OG0000243","D55MPa1",3117
"Halomonas","OG0000245","D55MPa1",3294
"Halomonas","OG0000246","D55MPa1",534
"Halomonas","OG0000247","D55MPa1",387
"Halomonas","OG0000248","D55MPa1",3901
"Halomonas","OG0000249","D55MPa1",737
"Halomonas","OG0000250","D55MPa1",411
"Halomonas","OG0000251","D55MPa1",10186
"Halomonas","OG0000252","D55MPa1",268
"Halomonas","OG0000253","D55MPa1",5749
"Halomonas","OG0000254","D55MPa1",484
"Halomonas","OG0000255","D55MPa1",770
"Halomonas","OG0000256","D55MPa1",3246
"Halomonas","OG0000257","D55MPa1",569
"Halomonas","OG0000258","D55MPa1",1281
"Halomonas","OG0000259","D55MPa1",26
"Halomonas","OG0000260","D55MPa1",2508
"Halomonas","OG0000261","D55MPa1",20343
"Halomonas","OG0000262","D55MPa1",1300
"Halomonas","OG0000263","D55MPa1",1342
"Halomonas","OG0000264","D55MPa1",1028
"Halomonas","OG0000265","D55MPa1",776
"Halomonas","OG0000266","D55MPa1",1339
"Halomonas","OG0000267","D55MPa1",8987
"Halomonas","OG0000269","D55MPa1",1279
"Halomonas","OG0000270","D55MPa1",251
"Halomonas","OG0000271","D55MPa1",1610
"Halomonas","OG0000272","D55MPa1",550
"Halomonas","OG0000273","D55MPa1",731
"Halomonas","OG0000274","D55MPa1",199
"Halomonas","OG0000275","D55MPa1",1368
"Halomonas","OG0000276","D55MPa1",2
"Halomonas","OG0000277","D55MPa1",14342
"Halomonas","OG0000278","D55MPa1",210
"Halomonas","OG0000279","D55MPa1",601
"Halomonas","OG0000280","D55MPa1",357
"Halomonas","OG0000281","D55MPa1",122
"Halomonas","OG0000292","D55MPa1",495
