contrast,orthofinder_orthogroup,member_strains,n_member_strains,Halomonas_present,Psychrobacter_present,Aequorivita_present,Sphingopyxis_present,Halomonas_direction,Psychrobacter_direction,Aequorivita_direction,Sphingopyxis_direction
D55_vs_D0,OG0000439,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0000444,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000445,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000450,Halomonas;Psychrobacter,2,True,True,False,False,up,down,,
D55_vs_D0,OG0000452,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000453,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0000457,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000458,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000460,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000462,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000464,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000468,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000469,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000471,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000473,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000475,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000477,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000479,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0000481,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000482,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000483,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000484,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000486,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000487,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0000491,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000492,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000493,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000494,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000495,Aequorivita;Sphingopyxis,2,False,False,True,True,,,down,up
D55_vs_D0,OG0000498,Halomonas;Psychrobacter,2,True,True,False,False,down,up,,
D55_vs_D0,OG0000499,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000502,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000506,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0000507,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000508,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000509,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000510,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000515,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0000517,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000518,Halomonas;Aequorivita,2,True,False,True,False,up,,up,
D55_vs_D0,OG0000519,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000520,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000521,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000522,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0000523,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000525,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000526,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,down
D55_vs_D0,OG0000527,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000528,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000529,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000530,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,up
D55_vs_D0,OG0000534,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000535,Halomonas;Psychrobacter,2,True,True,False,False,up,down,,
D55_vs_D0,OG0000536,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000537,Halomonas;Aequorivita;Sphingopyxis,3,True,False,True,True,up,,down,down
D55_vs_D0,OG0000538,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000539,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0000540,Halomonas;Psychrobacter;Aequorivita;Sphingopyxis,4,True,True,True,True,up,up,up,up
D55_vs_D0,OG0000543,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000544,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000545,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000547,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000550,Halomonas;Aequorivita,2,True,False,True,False,up,,down,
D55_vs_D0,OG0000552,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000553,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000556,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000557,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000558,Aequorivita;Sphingopyxis,2,False,False,True,True,,,down,down
D55_vs_D0,OG0000559,Aequorivita;Sphingopyxis,2,False,False,True,True,,,down,down
D55_vs_D0,OG0000560,Psychrobacter;Aequorivita,2,False,True,True,False,,down,down,
D55_vs_D0,OG0000561,Psychrobacter;Aequorivita,2,False,True,True,False,,down,down,
D55_vs_D0,OG0000562,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000563,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000565,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000567,Sphingopyxis,1,False,False,False,True,,,,up
