contrast	contrast_label	orthogroup_id	gene_label	display_gene_label	x	strain	point_status	member_gene_count_in_strain	log2_fold_change	P_value	FDR	neg_log10_P_value	direction	sharing	n_DEG_strains	DEG_strains
D55_vs_D0	55D vs 0.1D	OG0001285	fliC	fliC	1	Halomonas	DEG	2	-3.78674074722622	6.86596072755577e-14	1.16863687330127e-11	13.1632986850138	Down	shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001285	fliC	fliC	1	Psychrobacter	absent_no_member_gene	0						shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001285	fliC	fliC	1	Sphingopyxis	DEG	1	-3.74837230267049	4.38214035882207e-17	2.10184902675464e-15	16.3583137162126	Down	shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001285	fliC	fliC	1	Aequorivita	absent_no_member_gene	0						shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001347	fliD	fliD	2	Halomonas	DEG	2	-1.23196066772766	4.54065373517918e-09	4.81654155706349e-08	8.34288161561384	Down	shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001347	fliD	fliD	2	Psychrobacter	absent_no_member_gene	0						shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001347	fliD	fliD	2	Sphingopyxis	DEG	1	-3.17267262404929	3.37908036969356e-13	2.95262958506913e-12	12.4712014786307	Down	shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001347	fliD	fliD	2	Aequorivita	absent_no_member_gene	0						shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001994	fliE	fliE	3	Halomonas	DEG	1	-3.69729295094221	3.13362430752442e-10	5.25195433941092e-09	9.50395307262474	Down	shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001994	fliE	fliE	3	Psychrobacter	absent_no_member_gene	0						shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001994	fliE	fliE	3	Sphingopyxis	DEG	1	2.16728036826987	8.91878372597625e-07	1.87317385710093e-06	6.04969436727328	Up	shared	2	Halomonas;Sphingopyxis
D55_vs_D0	55D vs 0.1D	OG0001994	fliE	fliE	3	Aequorivita	absent_no_member_gene	0						shared	2	Halomonas;Sphingopyxis
