contrast	module	orthogroup_id	gene_label	n_DEG_events	n_DEG_strains	sharing	DEG_strains	directions	strict_function_evidence	representative_product	ko_terms	pathway_ids	member_gene_symbols	compact_og
D55_vs_B55	osmoregulation	OG0000128	betA	2	2	shared	Halomonas;Psychrobacter	Down;Up	strict osmoregulation: compatible-solute synthesis/transport or mechanosensitive channel	MULTISPECIES: choline dehydrogenase	K00108;K28060	map00260;map00670;map01100;map00640;map01120	betA;mpdB	OG128
D55_vs_B55	osmoregulation	OG0001784	ectB	2	2	shared	Halomonas;Sphingopyxis	Up	strict osmoregulation: compatible-solute synthesis/transport or mechanosensitive channel	MULTISPECIES: diaminobutyrate--2-oxoglutarate transaminase	K00836	map00260;map00975;map01100;map01110;map01120;map01210;map01230	ectB	OG1784
D55_vs_B55	proteostasis	OG0000403	groES	3	3	shared	Aequorivita;Halomonas;Sphingopyxis	Down;Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	MULTISPECIES: co-chaperone GroES	K04078		groES	OG403
D55_vs_B55	proteostasis	OG0000241	lon	3	3	shared	Aequorivita;Halomonas;Psychrobacter	Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	ATP-dependent proteinase. Serine peptidase. MEROPS family S16	K01338;K04770	map04112	lon;lonB	OG241
D55_vs_B55	proteostasis	OG0001212	htpG	3	3	shared	Aequorivita;Halomonas;Psychrobacter	Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	molecular chaperone HtpG	K04079	map04141;map04151;map04217;map04612;map04621;map04626;map04657;map04659;map04914;map04915;map05132;map05200;map05207;map05215;map05417;map05418	htpG	OG1212
D55_vs_B55	proteostasis	OG0000537	clpB	3	3	shared	Aequorivita;Halomonas;Sphingopyxis	Down;Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	ATP-dependent chaperone ClpB	K03695	map04213	clpB	OG537
D55_vs_B55	proteostasis	OG0000227	dnaJ	3	3	shared	Aequorivita;Halomonas;Psychrobacter	Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	molecular chaperone DnaJ	K03686;K05516		dnaJ;cbpA	OG227
D55_vs_B55	proteostasis	OG0000144	slpA	3	3	shared	Aequorivita;Psychrobacter;Sphingopyxis	Down;Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	MULTISPECIES: peptidylprolyl isomerase	K03775;K03774		slyD;slpA;fkpA	OG144
D55_vs_B55	proteostasis	OG0000177	degP	2	2	shared	Halomonas;Sphingopyxis	Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	peptidase Do family protein	K04691;K04772;K04771	map01503;map02020	hhoB;degP	OG177
D55_vs_B55	proteostasis	OG0000550	dnaK	2	2	shared	Aequorivita;Halomonas	Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	molecular chaperone DnaK	K04043	map03018;map04212;map05152	dnaK	OG550
D55_vs_B55	proteostasis	OG0000582	grpE	2	2	shared	Aequorivita;Halomonas	Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	MULTISPECIES: nucleotide exchange factor GrpE	K03687			OG582
D55_vs_B55	proteostasis	OG0001280	clpA	2	2	shared	Halomonas;Sphingopyxis	Down;Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	ATP-dependent Clp protease ATP-binding subunit ClpA	K03694		clpA	OG1280
D55_vs_B55	proteostasis	OG0000157	ybbN	2	2	shared	Halomonas;Psychrobacter	Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	MULTISPECIES: co-chaperone YbbN	K03671;K05838	map04621;map05012;map05132;map05418	trxA;ybbN	OG157
D55_vs_B55	proteostasis	OG0000404	groEL	2	2	shared	Aequorivita;Halomonas	Up	strict proteostasis: chaperone/co-chaperone, folding/isomerization factor, or stress/ATP-dependent protease	MULTISPECIES: chaperonin GroEL	K04077	map03018;map04212;map04940;map05134;map05152;map05417	groEL	OG404
