contrast	module	orthogroup_id	gene_label	display_gene_label	x	index_in_module	strain	point_class	status_raw	member_gene_count_in_strain	direction	plot_direction	logFC	pvalue	FDR	neg_log10_p	n_DEG_events	n_DEG_strains	DEG_strains	directions	strict_function_evidence	representative_product	ko_terms	pathway_ids	member_gene_symbols
D55_vs_B55	membrane maintenance	OG0000942	tolR	tolR	5	5	Halomonas	DEG	DEG	1	Up	Up	2.16334870053839	7.54976880889601e-09	7.66873486285437e-08	8.12206634725267	2	2	Halomonas;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	MULTISPECIES: protein TolR	K03559;K03560		tolR;exbD
D55_vs_B55	membrane maintenance	OG0000942	tolR	tolR	5	5	Psychrobacter	Present_not_DEG	Homolog_present_not_DEG	2							2	2	Halomonas;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	MULTISPECIES: protein TolR	K03559;K03560		tolR;exbD
D55_vs_B55	membrane maintenance	OG0000942	tolR	tolR	5	5	Sphingopyxis	DEG	DEG	1	Up	Up	1.58638333870366	8.01273487460341e-08	7.07719393789296e-07	7.09621922695841	2	2	Halomonas;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	MULTISPECIES: protein TolR	K03559;K03560		tolR;exbD
D55_vs_B55	membrane maintenance	OG0000942	tolR	tolR	5	5	Aequorivita	Absent	Absent	0							2	2	Halomonas;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	MULTISPECIES: protein TolR	K03559;K03560		tolR;exbD
D55_vs_B55	membrane maintenance	OG0001336	pgpA	pgpA	6	6	Halomonas	DEG	DEG	2	Up	Up	1.11563054026831	9.77342595655311e-06	3.09645782668866e-05	5.00995317290174	2	2	Halomonas;Psychrobacter	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	MULTISPECIES: phosphatidylglycerophosphatase A	K01095	map00564;map01100	pgpA
D55_vs_B55	membrane maintenance	OG0001336	pgpA	pgpA	6	6	Psychrobacter	DEG	DEG	1	Down	Down	-1.05753055413958	1.72929633122347e-05	7.63689246852446e-05	4.7621305798967	2	2	Halomonas;Psychrobacter	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	MULTISPECIES: phosphatidylglycerophosphatase A	K01095	map00564;map01100	pgpA
D55_vs_B55	membrane maintenance	OG0001336	pgpA	pgpA	6	6	Sphingopyxis	Absent	Absent	0							2	2	Halomonas;Psychrobacter	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	MULTISPECIES: phosphatidylglycerophosphatase A	K01095	map00564;map01100	pgpA
D55_vs_B55	membrane maintenance	OG0001336	pgpA	pgpA	6	6	Aequorivita	Absent	Absent	0							2	2	Halomonas;Psychrobacter	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	MULTISPECIES: phosphatidylglycerophosphatase A	K01095	map00564;map01100	pgpA
D55_vs_B55	ROS removal	OG0000349	osmC	osmC	8.25	1	Halomonas	DEG	DEG	1	Up	Up	1.60762511397858	6.17760027960578e-06	2.07488137647681e-05	5.20918019606332	3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	organic hydroperoxide resistance protein	K04063		osmC
D55_vs_B55	ROS removal	OG0000349	osmC	osmC	8.25	1	Psychrobacter	DEG	DEG	2	Up	Up	2.74800236431589	1.92300958500965e-10	9.18237076842108e-09	9.71601855106759	3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	organic hydroperoxide resistance protein	K04063		osmC
D55_vs_B55	ROS removal	OG0000349	osmC	osmC	8.25	1	Sphingopyxis	DEG	DEG	1	Up	Up	1.91880211914438	7.01655600863512e-15	8.81927116777676e-13	14.1538760037477	3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	organic hydroperoxide resistance protein	K04063		osmC
D55_vs_B55	ROS removal	OG0000349	osmC	osmC	8.25	1	Aequorivita	Present_not_DEG	Homolog_present_not_DEG	1							3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	organic hydroperoxide resistance protein	K04063		osmC
D55_vs_B55	ROS removal	OG0000365	sodC	sodC	9.25	2	Halomonas	DEG	DEG	1	Up	Up	1.86179515807111	1.30920637942068e-06	5.52702743553921e-06	5.88299188715532	3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: superoxide dismutase family protein	K04565	map04146;map04213;map05012;map05014;map05016;map05020;map05022;map05208	
D55_vs_B55	ROS removal	OG0000365	sodC	sodC	9.25	2	Psychrobacter	DEG	DEG	1	Up	Up	1.51981343991962	7.95577637378678e-08	8.50099741199035e-07	7.09931743281197	3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: superoxide dismutase family protein	K04565	map04146;map04213;map05012;map05014;map05016;map05020;map05022;map05208	
D55_vs_B55	ROS removal	OG0000365	sodC	sodC	9.25	2	Sphingopyxis	DEG	DEG	2	Up	Up	1.46819600354892	4.6429569627511e-13	2.10738657698203e-11	12.3332053419479	3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: superoxide dismutase family protein	K04565	map04146;map04213;map05012;map05014;map05016;map05020;map05022;map05208	
D55_vs_B55	ROS removal	OG0000365	sodC	sodC	9.25	2	Aequorivita	Present_not_DEG	Homolog_present_not_DEG	1							3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: superoxide dismutase family protein	K04565	map04146;map04213;map05012;map05014;map05016;map05020;map05022;map05208	
D55_vs_B55	ROS removal	OG0000624	ahpC	ahpC	10.25	3	Halomonas	DEG	DEG	1	Up	Up	4.42031754429126	1.86450715762476e-12	1.48805428389481e-10	11.7294359450938	3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	alkyl hydroperoxide reductase	K24119		ahpC
D55_vs_B55	ROS removal	OG0000624	ahpC	ahpC	10.25	3	Psychrobacter	DEG	DEG	1	Up	Up	2.15141380643973	1.3612679223123e-06	8.88104579379905e-06	5.86605638932242	3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	alkyl hydroperoxide reductase	K24119		ahpC
D55_vs_B55	ROS removal	OG0000624	ahpC	ahpC	10.25	3	Sphingopyxis	DEG	DEG	1	Up	Up	2.48234100055401	2.4728633427885e-10	4.23208741272364e-09	9.60679988327993	3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	alkyl hydroperoxide reductase	K24119		ahpC
D55_vs_B55	ROS removal	OG0000624	ahpC	ahpC	10.25	3	Aequorivita	Present_not_DEG	Homolog_present_not_DEG	1							3	3	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	alkyl hydroperoxide reductase	K24119		ahpC
D55_vs_B55	ROS removal	OG0001394	ahpF	ahpF	11.25	4	Halomonas	DEG	DEG	1	Up	Up	4.47166725803513	3.30653741759235e-15	2.77087835594239e-12	14.4806265583488	2	2	Halomonas;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: alkyl hydroperoxide reductase subunit F	K03387		ahpF
