contrast	contrast_label	orthogroup_id	gene_label	display_gene_label	x	strain	point_status	member_gene_count_in_strain	log2_fold_change	P_value	FDR	neg_log10_P_value	direction	sharing	n_DEG_strains	DEG_strains
D55_vs_B55	55D vs 55B	OG0002006	flgD	flgD	11	Halomonas	DEG	1	-1.31172023886149	1.15137101092719e-06	4.9862992617932e-06	5.93878470935444	Down	single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002006	flgD	flgD	11	Psychrobacter	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002006	flgD	flgD	11	Sphingopyxis	present_not_significant	1						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002006	flgD	flgD	11	Aequorivita	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002005	flgF	flgF	12	Halomonas	DEG	1	-1.28498469138964	1.26283164998392e-07	7.2732159634813e-07	6.89865454204659	Down	single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002005	flgF	flgF	12	Psychrobacter	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002005	flgF	flgF	12	Sphingopyxis	present_not_significant	1						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002005	flgF	flgF	12	Aequorivita	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002003	flgH	flgH	13	Halomonas	DEG	1	-1.16168313031066	4.94814818854151e-05	0.0001285751374262	4.30555730247417	Down	single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002003	flgH	flgH	13	Psychrobacter	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002003	flgH	flgH	13	Sphingopyxis	present_not_significant	1						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002003	flgH	flgH	13	Aequorivita	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002002	flgI	flgI	14	Halomonas	DEG	1	-1.37743854382736	1.95654148013458e-05	5.69299222344716e-05	4.70851094029967	Down	single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002002	flgI	flgI	14	Psychrobacter	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002002	flgI	flgI	14	Sphingopyxis	present_not_significant	1						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0002002	flgI	flgI	14	Aequorivita	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001722	flgJ	flgJ	15	Halomonas	DEG	1	-1.04328743876721	0.0002512270867494	0.0005540218386737	3.59993353773894	Down	single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001722	flgJ	flgJ	15	Psychrobacter	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001722	flgJ	flgJ	15	Sphingopyxis	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001722	flgJ	flgJ	15	Aequorivita	present_not_significant	1						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001367	flhB	flhB	16	Halomonas	present_not_significant	2						single	1	Sphingopyxis
D55_vs_B55	55D vs 55B	OG0001367	flhB	flhB	16	Psychrobacter	absent_no_member_gene	0						single	1	Sphingopyxis
D55_vs_B55	55D vs 55B	OG0001367	flhB	flhB	16	Sphingopyxis	DEG	1	-1.56190002254483	1.45502950065099e-06	8.61419639153518e-06	5.83712820128972	Down	single	1	Sphingopyxis
D55_vs_B55	55D vs 55B	OG0001367	flhB	flhB	16	Aequorivita	absent_no_member_gene	0						single	1	Sphingopyxis
D55_vs_B55	55D vs 55B	OG0000570	motB	motB	17	Halomonas	present_not_significant	2						single	1	Aequorivita
D55_vs_B55	55D vs 55B	OG0000570	motB	motB	17	Psychrobacter	absent_no_member_gene	0						single	1	Aequorivita
D55_vs_B55	55D vs 55B	OG0000570	motB	motB	17	Sphingopyxis	absent_no_member_gene	0						single	1	Aequorivita
D55_vs_B55	55D vs 55B	OG0000570	motB	motB	17	Aequorivita	DEG	2	1.14252629585607	1.50619810277514e-05	0.0001403553491326	4.82211790377677	Up	single	1	Aequorivita
