contrast	strain	module	orthogroup_id	gene_label	direction	logFC	pvalue	FDR	n_DEG_strains_raw	strict_function_evidence	source_table	ko_terms	pathway_ids	pathway_names	representative_product	representative_Preferred_name	member_gene_symbols	member_products	n_DEG_strains	sharing	sharing_label
D55_vs_B55	Aequorivita	membrane maintenance	OG0000593	cdsA	Up	1.06579964147553	0.0010506990449017	0.0036412655605687	4	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K00981	map00564;map01100;map01110;map04070	Biosynthesis of secondary metabolites;Glycerophospholipid metabolism;Metabolic pathways;Phosphatidylinositol signaling system	phosphatidate cytidylyltransferase	cdsA	cdsA	MULTISPECIES: phosphatidate cytidylyltransferase;phosphatidate cytidylyltransferase	1	single	OG in 1 strain
D55_vs_B55	Halomonas	membrane maintenance	OG0000903	pssA	Up	1.53075216473204	3.21018709397078e-07	1.63534151048481e-06	4	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K17103	map00260;map00564;map01100;map01110	Biosynthesis of secondary metabolites;Glycerophospholipid metabolism;Glycine;serine and threonine metabolism;Metabolic pathways	CDP-diacylglycerol--serine O-phosphatidyltransferase	pssA	pssA	MULTISPECIES: CDP-diacylglycerol--serine O-phosphatidyltransferase;CDP-diacylglycerol--serine O-phosphatidyltransferase;phosphatidylserine synthase;CDP-diacylglycerol---serine O-phosphatidyltransferase	1	single	OG in 1 strain
D55_vs_B55	Halomonas	membrane maintenance	OG0000942	tolR	Up	2.16334870053839	7.54976880889601e-09	7.66873486285437e-08	3	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K03559;K03560			MULTISPECIES: protein TolR	tolR	tolR;exbD	MULTISPECIES: protein TolR;MULTISPECIES: biopolymer transporter ExbD;ExbD/TolR family protein	2	shared	OG in >=2 strains
D55_vs_B55	Sphingopyxis	membrane maintenance	OG0000942	tolR	Up	1.58638333870366	8.01273487460341e-08	7.07719393789296e-07	3	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K03559;K03560			MULTISPECIES: protein TolR	tolR	tolR;exbD	MULTISPECIES: protein TolR;MULTISPECIES: biopolymer transporter ExbD;ExbD/TolR family protein	2	shared	OG in >=2 strains
D55_vs_B55	Halomonas	membrane maintenance	OG0001336	pgpA	Up	1.11563054026831	9.77342595655311e-06	3.09645782668866e-05	2	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K01095	map00564;map01100	Glycerophospholipid metabolism;Metabolic pathways	MULTISPECIES: phosphatidylglycerophosphatase A	pgpA	pgpA	MULTISPECIES: phosphatidylglycerophosphatase A	2	shared	OG in >=2 strains
D55_vs_B55	Psychrobacter	membrane maintenance	OG0001336	pgpA	Down	-1.05753055413958	1.72929633122347e-05	7.63689246852446e-05	2	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K01095	map00564;map01100	Glycerophospholipid metabolism;Metabolic pathways	MULTISPECIES: phosphatidylglycerophosphatase A	pgpA	pgpA	MULTISPECIES: phosphatidylglycerophosphatase A	2	shared	OG in >=2 strains
D55_vs_B55	Halomonas	membrane maintenance	OG0001862	lolA	Up	2.41353849696937	2.53861036280831e-13	4.25471096806672e-11	2	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K03634			outer membrane lipoprotein chaperone LolA	lolA	lolA	MULTISPECIES: outer membrane lipoprotein chaperone LolA;outer membrane lipoprotein chaperone LolA	2	shared	OG in >=2 strains
D55_vs_B55	Psychrobacter	membrane maintenance	OG0001862	lolA	Up	2.21753344763899	2.75072236565335e-11	2.47241398512842e-09	2	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K03634			outer membrane lipoprotein chaperone LolA	lolA	lolA	MULTISPECIES: outer membrane lipoprotein chaperone LolA;outer membrane lipoprotein chaperone LolA	2	shared	OG in >=2 strains
D55_vs_B55	Halomonas	ROS removal	OG0000341	prx	Up	2.34314549620374	4.73401199392082e-11	1.61922532690026e-09	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K24158;K03386	map04214	Apoptosis - fly	MULTISPECIES: peroxiredoxin		prx;ahpC	MULTISPECIES: peroxiredoxin;peroxiredoxin	2	shared	OG in >=2 strains
D55_vs_B55	Sphingopyxis	ROS removal	OG0000341	prx	Down	-1.54349922018637	5.76787392733034e-11	1.21799557932685e-09	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K24158;K03386	map04214	Apoptosis - fly	MULTISPECIES: peroxiredoxin		prx;ahpC	MULTISPECIES: peroxiredoxin;peroxiredoxin	2	shared	OG in >=2 strains
D55_vs_B55	Halomonas	ROS removal	OG0000349	osmC	Up	1.60762511397858	6.17760027960578e-06	2.07488137647681e-05	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K04063			organic hydroperoxide resistance protein	ohr	osmC	MULTISPECIES: OsmC family protein;MULTISPECIES: organic hydroperoxide resistance protein;organic hydroperoxide resistance protein;Ohr family peroxiredoxin;OsmC family protein	3	shared	OG in >=2 strains
D55_vs_B55	Psychrobacter	ROS removal	OG0000349	osmC	Up	2.74800236431589	1.92300958500965e-10	9.18237076842108e-09	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K04063			organic hydroperoxide resistance protein	ohr	osmC	MULTISPECIES: OsmC family protein;MULTISPECIES: organic hydroperoxide resistance protein;organic hydroperoxide resistance protein;Ohr family peroxiredoxin;OsmC family protein	3	shared	OG in >=2 strains
D55_vs_B55	Sphingopyxis	ROS removal	OG0000349	osmC	Up	1.91880211914438	7.01655600863512e-15	8.81927116777676e-13	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K04063			organic hydroperoxide resistance protein	ohr	osmC	MULTISPECIES: OsmC family protein;MULTISPECIES: organic hydroperoxide resistance protein;organic hydroperoxide resistance protein;Ohr family peroxiredoxin;OsmC family protein	3	shared	OG in >=2 strains
D55_vs_B55	Halomonas	ROS removal	OG0000365	sodC	Up	1.86179515807111	1.30920637942068e-06	5.52702743553921e-06	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K04565	map04146;map04213;map05012;map05014;map05016;map05020;map05022;map05208	Amyotrophic lateral sclerosis;Chemical carcinogenesis - reactive oxygen species;Huntington disease;Longevity regulating pathway - multiple species;Parkinson disease;Pathways of neurodegeneration - multiple diseases;Peroxisome;Prion disease	MULTISPECIES: superoxide dismutase family protein	sodC		MULTISPECIES: superoxide dismutase family protein;superoxide dismutase;Superoxide dismutase;superoxide dismutase family protein	3	shared	OG in >=2 strains
D55_vs_B55	Psychrobacter	ROS removal	OG0000365	sodC	Up	1.51981343991962	7.95577637378678e-08	8.50099741199035e-07	4	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	DEG_OG_edgeR.tsv strict full-module filter	K04565	map04146;map04213;map05012;map05014;map05016;map05020;map05022;map05208	Amyotrophic lateral sclerosis;Chemical carcinogenesis - reactive oxygen species;Huntington disease;Longevity regulating pathway - multiple species;Parkinson disease;Pathways of neurodegeneration - multiple diseases;Peroxisome;Prion disease	MULTISPECIES: superoxide dismutase family protein	sodC		MULTISPECIES: superoxide dismutase family protein;superoxide dismutase;Superoxide dismutase;superoxide dismutase family protein	3	shared	OG in >=2 strains
