contrast	term_id	term_name	GeneRatio	Count	pvalue	p.adjust	-lg(p.adjust)	geneID
D55_vs_B55	map00190	Oxidative phosphorylation	0.068181818	36	4.93934E-05	0.003012997	2.521001	OG0000222/OG0000243/OG0000245/OG0000370/OG0000491/OG0000558/OG0000559/OG0000679/OG0000721/OG0000722/OG0000723/OG0000724/OG0000823/OG0000827/OG0000828/OG0001129/OG0001130/OG0001208/OG0000047/OG0001277/OG0001319/OG0001320/OG0001321/OG0001354/OG0001388/OG0001389/OG0001857/OG0001858/OG0001969/OG0002061/OG0002075/OG0002076/OG0002194/OG0002195/OG0002196/OG0002197
D55_vs_B55	map00640	Propanoate metabolism	0.049242424	26	0.000504844	0.012318188	1.909453	OG0000160/OG0000302/OG0000306/OG0000307/OG0000320/OG0000498/OG0000533/OG0000538/OG0000663/OG0000735/OG0000889/OG0000898/OG0001060/OG0000128/OG0000453/OG0001035/OG0001278/OG0001362/OG0001370/OG0001952/OG0002010/OG0002011/OG0002058/OG0002077/OG0002078/OG0002182
D55_vs_B55	map00280	Valine, leucine and isoleucine degradation	0.041666667	22	0.006830171	0.092586767	1.033451	OG0000105/OG0000208/OG0000298/OG0000302/OG0000306/OG0000320/OG0000485/OG0000498/OG0000538/OG0000569/OG0000708/OG0000709/OG0000914/OG0000453/OG0000977/OG0001035/OG0001362/OG0001363/OG0001952/OG0001984/OG0002058/OG0002221
D55_vs_B55	map00720	Other carbon fixation pathways	0.041666667	22	0.006830171	0.092586767	1.033451	OG0000160/OG0000208/OG0000306/OG0000307/OG0000367/OG0000424/OG0000485/OG0000533/OG0000569/OG0000663/OG0000735/OG0000800/OG0000823/OG0000889/OG0000898/OG0001277/OG0001359/OG0001386/OG0001857/OG0001858/OG0002077/OG0002078
D55_vs_B55	map02040	Flagellar assembly	0.035984848	19	0.062117661	0.505223643	0.296516	OG0000235/OG0000570/OG0001722/OG0000124/OG0001285/OG0001367/OG0001994/OG0001995/OG0001996/OG0001997/OG0001998/OG0002000/OG0002001/OG0002002/OG0002003/OG0002005/OG0002006/OG0002007/OG0002008
D55_vs_B55	map00650	Butanoate metabolism	0.034090909	18	0.001850617	0.037629207	1.424475	OG0000110/OG0000200/OG0000208/OG0000212/OG0000302/OG0000478/OG0000485/OG0000494/OG0000498/OG0000708/OG0000709/OG0000823/OG0000914/OG0000050/OG0001035/OG0001277/OG0001857/OG0001858
D55_vs_B55	map00071	Fatty acid degradation	0.026515152	14	0.000425307	0.012318188	1.909453	OG0000001/OG0000062/OG0000100/OG0000105/OG0000208/OG0000298/OG0000302/OG0000405/OG0000410/OG0000485/OG0000498/OG0001035/OG0001886/OG0002221
D55_vs_B55	map00362	Benzoate degradation	0.024621212	13	0.022567476	0.275323207	0.560157	OG0000062/OG0000104/OG0000208/OG0000259/OG0000298/OG0000302/OG0000361/OG0000405/OG0000485/OG0000494/OG0000183/OG0001035/OG0001262
D55_vs_B55	map00410	beta-Alanine metabolism	0.018939394	10	0.043551625	0.408715252	0.388579	OG0000106/OG0000302/OG0000368/OG0000498/OG0000830/OG0000453/OG0000969/OG0001035/OG0001362/OG0001952
D55_vs_B55	map00195	Photosynthesis	0.015151515	8	0.003661811	0.063820136	1.195042	OG0000721/OG0000722/OG0000723/OG0000724/OG0000827/OG0000828/OG0001129/OG0001130
D55_vs_B55	map00552	Teichoic acid biosynthesis	0.009469697	5	0.030230338	0.307341773	0.512378	OG0000001/OG0000051/OG0000159/OG0000840/OG0001554
D55_vs_B55	map00907	Pinene, camphor and geraniol degradation	0.009469697	5	0.030230338	0.307341773	0.512378	OG0000100/OG0000298/OG0000302/OG0000914/OG0001035
D55_vs_B55	map00984	Steroid degradation	0.007575758	4	0.0609799	0.505223643	0.296516	OG0000001/OG0000087/OG0000298/OG0001461
