orthofinder_orthogroup,strain,contrast,logFC,FDR,OG_gene_symbol,representative_product,ko_terms,pathway_names,cog_category_names,min_FDR,max_abs_logFC
OG0000416,Aequorivita,D55_vs_D0,1.13312687401696,0.0002767133177659,ubiE,"MULTISPECIES: bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",K03183,Biosynthesis of cofactors;Biosynthesis of secondary metabolites;Metabolic pathways;Ubiquinone and other terpenoid-quinone biosynthesis,H: Coenzyme transport and metabolism;Q: Secondary metabolites biosynthesis;transport and catabolism,0.0002767133177659,1.13312687401696
OG0002076,Sphingopyxis,D55_vs_B55,-1.66979456348537,0.0002949598045423,cyoD,cytochrome o ubiquinol oxidase subunit IV,K02300,Metabolic pathways;Oxidative phosphorylation,C: Energy production and conversion,0.0002949598045423,1.66979456348537
OG0001959,Halomonas,D55_vs_B55,-1.69624487262531,0.0003087435762541,smtA,MULTISPECIES: methyltransferase domain-containing protein,K06219,,H: Coenzyme transport and metabolism,0.0003087435762541,1.69624487262531
OG0002000,Sphingopyxis,D55_vs_D0,-1.86659933667579,0.0003132222227018,fliQ,MULTISPECIES: flagellar biosynthesis protein FliQ,K02420,Flagellar assembly,N: Cell motility,0.0003132222227018,2.21497569538218
OG0000673,Aequorivita,D55_vs_B55,1.10032745632972,0.0003280594515437,tsaB,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,K14742,,O: Posttranslational modification;protein turnover;chaperones,0.0003280594515437,1.10032745632972
OG0001781,Halomonas,D55_vs_D0,-1.02903217089905,0.0003296535525328,nadM,MULTISPECIES: bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase,K13522,Metabolic pathways;Nicotinate and nicotinamide metabolism,F: Nucleotide transport and metabolism;H: Coenzyme transport and metabolism,0.0003296535525328,1.02903217089905
OG0001283,Halomonas,D55_vs_B55,1.05902008661009,0.0003355389207594,urtD,urea ABC transporter ATP-binding protein UrtD,K11962,ABC transporters,S: Function unknown,0.0003355389207594,1.05902008661009
OG0000179,Aequorivita,D55_vs_B55,1.50663066349378,0.00033974481835,czcD,MULTISPECIES: cation transporter,,,P: Inorganic ion transport and metabolism,0.00033974481835,1.50663066349378
OG0000311,Psychrobacter,D55_vs_B55,1.0647566484593,0.0003487001606515,gabT,MULTISPECIES: 4-aminobutyrate--2-oxoglutarate transaminase,K18201,Lysine degradation;Metabolic pathways,E: Amino acid transport and metabolism,0.0003487001606515,1.0647566484593
OG0001568,Aequorivita,D55_vs_D0,-1.71070805050331,0.000364560518523,gene2049,hypothetical protein,,,S: Function unknown,0.000364560518523,1.71070805050331
OG0000729,Halomonas,D55_vs_B55,-1.0355496154456,0.0003669659150303,folB,dihydroneopterin aldolase,K01633,Biosynthesis of cofactors;Folate biosynthesis;Metabolic pathways,H: Coenzyme transport and metabolism,0.0003669659150303,1.0355496154456
