orthofinder_orthogroup,strain,contrast,logFC,FDR,OG_gene_symbol,representative_product,ko_terms,pathway_names,cog_category_names,min_FDR,max_abs_logFC
OG0002288,Sphingopyxis,D55_vs_D0,-6.8020902782829,1.82499526167509e-18,gene0502,DUF1153 domain-containing protein,,,S: Function unknown,1.82499526167509e-18,6.8020902782829
OG0000166,Sphingopyxis,D55_vs_D0,4.64776516292639,1.82499526167509e-18,pecM,DMT family transporter,,,E: Amino acid transport and metabolism;G: Carbohydrate transport and metabolism;P: Inorganic ion transport and metabolism,1.82499526167509e-18,4.64776516292639
OG0001503,Sphingopyxis,D55_vs_D0,-4.0591526876473,1.1518626730479e-16,TC.FEV.OM,TonB-dependent receptor,K02014,,P: Inorganic ion transport and metabolism,1.1518626730479e-16,7.71451620483631
OG0000335,Sphingopyxis,D55_vs_D0,2.8990205019142,1.1518626730479e-16,pspC,PspC domain-containing protein,K03973,,K: Transcription;T: Signal transduction mechanisms,1.1518626730479e-16,3.56419327026713
OG0001974,Sphingopyxis,D55_vs_D0,-5.34679510686647,1.16282848299048e-16,hpxA,MULTISPECIES: aspartate/glutamate racemase family protein,K16841,Metabolic pathways;Microbial metabolism in diverse environments;Purine metabolism,E: Amino acid transport and metabolism,1.16282848299048e-16,5.34679510686647
OG0001086,Sphingopyxis,D55_vs_D0,-4.76937427468239,1.16282848299048e-16,csgF,MULTISPECIES: curli assembly protein CsgF,K04338,,S: Function unknown,1.16282848299048e-16,4.76937427468239
OG0002286,Sphingopyxis,D55_vs_D0,3.63250120073281,1.16282848299048e-16,prkC,winged helix-turn-helix domain-containing protein,,,K: Transcription,1.16282848299048e-16,3.63250120073281
OG0001528,Sphingopyxis,D55_vs_D0,-3.39182014816391,1.24426379569372e-16,gene2992,S9 family peptidase,,,E: Amino acid transport and metabolism,1.24426379569372e-16,3.39182014816391
OG0000800,Sphingopyxis,D55_vs_D0,-4.88165812065114,1.37328483567708e-16,metF,methylenetetrahydrofolate reductase,K00297,Carbon metabolism;Metabolic pathways;Microbial metabolism in diverse environments;One carbon pool by folate;Other carbon fixation pathways,E: Amino acid transport and metabolism,1.37328483567708e-16,4.88165812065114
OG0000920,Sphingopyxis,D55_vs_D0,3.38670291330691,1.37328483567708e-16,ffh,signal recognition particle protein,K03106,Bacterial secretion system;Protein export;Quorum sensing,U: Intracellular trafficking;secretion;and vesicular transport,1.37328483567708e-16,3.38670291330691
OG0002261,Sphingopyxis,D55_vs_D0,-4.1720357891029,1.78405902408702e-16,parA,chromosome partitioning protein ParA,K03496,,D: Cell cycle control;cell division;chromosome partitioning,1.78405902408702e-16,4.1720357891029
OG0002326,Sphingopyxis,D55_vs_D0,3.49394560567953,1.78405902408702e-16,gene1596,pyrimidine 5'-nucleotidase,K07025,,S: Function unknown,1.78405902408702e-16,3.49394560567953
OG0001646,Sphingopyxis,D55_vs_D0,-5.18017611860683,2.32764266617971e-16,sadA,hypothetical protein,,,S: Function unknown;G: Carbohydrate transport and metabolism,2.32764266617971e-16,8.70238503121492
OG0001394,Sphingopyxis,D55_vs_D0,5.9370722280952,2.54842479775572e-16,ahpF,MULTISPECIES: alkyl hydroperoxide reductase subunit F,K03387,,O: Posttranslational modification;protein turnover;chaperones;C: Energy production and conversion,2.54842479775572e-16,5.9370722280952
OG0000831,Sphingopyxis,D55_vs_D0,3.62969973171185,2.54842479775572e-16,radA,MULTISPECIES: DNA repair protein RadA,K04485,,O: Posttranslational modification;protein turnover;chaperones,2.54842479775572e-16,3.62969973171185
OG0000131,Sphingopyxis,D55_vs_D0,2.98240351479526,2.56487812766417e-16,gene3779,integrase,K07497,,L: Replication;recombination and repair,2.56487812766417e-16,2.98240351479526
OG0002302,Sphingopyxis,D55_vs_D0,-6.53537763081399,6.195145374204201e-16,pilA,Flp family type IVb pilin,K02651,Cell cycle - Caulobacter;Two-component system,U: Intracellular trafficking;secretion;and vesicular transport,6.195145374204201e-16,6.53537763081399
OG0000811,Sphingopyxis,D55_vs_D0,4.04174453295435,6.195145374204201e-16,baiN,NAD(P)/FAD-dependent oxidoreductase,,,S: Function unknown,6.195145374204201e-16,4.04174453295435
OG0000280,Sphingopyxis,D55_vs_D0,-2.77606609181394,6.195145374204201e-16,pilQ,type IV pilus secretin PilQ,K02666;K02453;K02280,Bacterial secretion system;Biofilm formation - Vibrio cholerae;Two-component system,U: Intracellular trafficking;secretion;and vesicular transport;N: Cell motility,6.195145374204201e-16,2.77606609181394
OG0000759,Sphingopyxis,D55_vs_D0,2.68819156915774,7.50506129644091e-16,rpoA,DNA-directed RNA polymerase subunit alpha,K03040,RNA polymerase,K: Transcription,7.50506129644091e-16,2.68819156915774
OG0000783,Sphingopyxis,D55_vs_D0,3.27011145504332,8.60436181023792e-16,rplC,50S ribosomal protein L3,K02906,Ribosome,J: Translation;ribosomal structure and biogenesis,8.60436181023792e-16,3.27011145504332
OG0000017,Sphingopyxis,D55_vs_D0,3.23415209830244,8.60436181023792e-16,mltD,LysM peptidoglycan-binding domain-containing protein,K08307;K18691;K08309,,M: Cell wall/membrane/envelope biogenesis,8.60436181023792e-16,3.23415209830244
OG0001388,Sphingopyxis,D55_vs_D0,-2.46040724255733,8.60436181023792e-16,cydA,cytochrome ubiquinol oxidase subunit I,K00425,Metabolic pathways;Oxidative phosphorylation;Two-component system,C: Energy production and conversion,8.60436181023792e-16,2.46040724255733
OG0001223,Sphingopyxis,D55_vs_D0,6.87827973397558,9.010790920426009e-16,gene3121,MULTISPECIES: IS5 family transposase,K07481,,L: Replication;recombination and repair,9.010790920426009e-16,6.87827973397558
OG0001678,Sphingopyxis,D55_vs_D0,-5.29525410795397,9.43933018196632e-16,metH,homocysteine S-methyltransferase family protein,K00548,Antifolate resistance;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Cobalamin transport and metabolism;Cysteine and methionine metabolism;Folate transport and metabolism;Metabolic pathways;One carbon pool by folate;Selenocompound metabolism,E: Amino acid transport and metabolism,9.43933018196632e-16,5.29525410795397
OG0000706,Sphingopyxis,D55_vs_D0,3.45530413268891,1.16231202660677e-15,recA,MULTISPECIES: recombinase RecA,K03553,Homologous recombination,L: Replication;recombination and repair,1.16231202660677e-15,3.45530413268891
OG0000748,Sphingopyxis,D55_vs_D0,2.82017469813903,1.16231202660677e-15,asd,aspartate-semialdehyde dehydrogenase,K00133,2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Glycine;serine and threonine metabolism;Lysine biosynthesis;Metabolic pathways;Microbial metabolism in diverse environments;Monobactam biosynthesis,E: Amino acid transport and metabolism,1.16231202660677e-15,2.82017469813903
OG0000047,Sphingopyxis,D55_vs_D0,-2.28323754515711,1.34069902936385e-15,phaA,monovalent cation/H+ antiporter subunit A,K05565;K05566;K05568;K05561;K05559;K00341;K00342;K00343,Metabolic pathways;Oxidative phosphorylation,C: Energy production and conversion;P: Inorganic ion transport and metabolism,1.34069902936385e-15,2.69062691331729
OG0000782,Sphingopyxis,D55_vs_D0,3.32008058577406,1.41059811390881e-15,rplD,50S ribosomal protein L4,K02926,Ribosome,J: Translation;ribosomal structure and biogenesis,1.41059811390881e-15,3.32008058577406
OG0001389,Sphingopyxis,D55_vs_D0,-2.69405116507088,1.41059811390881e-15,cydB,cytochrome d ubiquinol oxidase subunit II,K00426,Metabolic pathways;Oxidative phosphorylation;Two-component system,C: Energy production and conversion,1.41059811390881e-15,2.69405116507088
OG0000688,Sphingopyxis,D55_vs_D0,3.19173791837569,1.46687021464691e-15,tsf,translation elongation factor Ts,K02357,,J: Translation;ribosomal structure and biogenesis,1.46687021464691e-15,3.19173791837569
OG0000967,Sphingopyxis,D55_vs_D0,2.67919745148035,1.59174746011042e-15,nrsD,MFS transporter,,,E: Amino acid transport and metabolism;G: Carbohydrate transport and metabolism;P: Inorganic ion transport and metabolism,1.59174746011042e-15,2.67919745148035
OG0000479,Sphingopyxis,D55_vs_D0,-3.93602415509136,1.74898835240454e-15,copB,heavy metal translocating P-type ATPase,K01533,,P: Inorganic ion transport and metabolism,1.74898835240454e-15,3.93602415509136
OG0001285,Sphingopyxis,D55_vs_D0,-3.74837230267049,2.10184902675464e-15,fliC,flagellin FliC,K02406,Flagellar assembly;Legionellosis;NOD-like receptor signaling pathway;Plant-pathogen interaction;Salmonella infection;Shigellosis;Two-component system,N: Cell motility,2.10184902675464e-15,3.78674074722622
OG0001942,Sphingopyxis,D55_vs_D0,-2.74797092117894,2.10184902675464e-15,herA,ATP-binding protein,,,S: Function unknown,2.10184902675464e-15,2.74797092117894
OG0002218,Sphingopyxis,D55_vs_D0,3.60328449323712,2.44866809277992e-15,yjdF,DUF2238 domain-containing protein,K08984,,S: Function unknown,2.44866809277992e-15,3.60328449323712
OG0001877,Sphingopyxis,D55_vs_D0,2.90264347818266,2.67425247933915e-15,chrA,hypothetical protein,,,P: Inorganic ion transport and metabolism,2.67425247933915e-15,2.90264347818266
OG0000918,Sphingopyxis,D55_vs_D0,2.90254684015174,2.81513951673159e-15,queE,MULTISPECIES: 7-carboxy-7-deazaguanine synthase QueE,K10026,Folate biosynthesis;Metabolic pathways,H: Coenzyme transport and metabolism,2.81513951673159e-15,2.90254684015174
OG0001085,Sphingopyxis,D55_vs_D0,-3.86396698844222,2.82704114968178e-15,csgG,hypothetical protein,K06214,,M: Cell wall/membrane/envelope biogenesis,2.82704114968178e-15,3.86396698844222
OG0000613,Sphingopyxis,D55_vs_D0,3.65461828865738,2.94618189429484e-15,rplI,50S ribosomal protein L9,K02939,Ribosome,J: Translation;ribosomal structure and biogenesis,2.94618189429484e-15,3.65461828865738
OG0000471,Sphingopyxis,D55_vs_D0,2.94946894453531,3.02629428479585e-15,selD,MULTISPECIES: zincin-like metallopeptidase domain-containing protein,,,L: Replication;recombination and repair,3.02629428479585e-15,2.94946894453531
OG0000424,Sphingopyxis,D55_vs_D0,2.60834342885866,3.32537504303877e-15,folD,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase",K01491,Biosynthesis of cofactors;Carbon metabolism;Metabolic pathways;Microbial metabolism in diverse environments;One carbon pool by folate;Other carbon fixation pathways,F: Nucleotide transport and metabolism;H: Coenzyme transport and metabolism,3.32537504303877e-15,2.60834342885866
OG0001915,Sphingopyxis,D55_vs_D0,3.07530622735613,3.45759740484413e-15,plsX,phosphate acyltransferase PlsX,K03621,Biosynthesis of secondary metabolites;Glycerolipid metabolism;Metabolic pathways,I: Lipid transport and metabolism,3.45759740484413e-15,3.07530622735613
OG0000687,Sphingopyxis,D55_vs_D0,2.95729341822036,5.4763421304338e-15,rpsB,30S ribosomal protein S2,K02967,Ribosome,J: Translation;ribosomal structure and biogenesis,5.4763421304338e-15,2.95729341822036
OG0001432,Sphingopyxis,D55_vs_D0,2.0742836670915,5.61125382212615e-15,proB,MULTISPECIES: glutamate 5-kinase,K00931,Arginine and proline metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Carbapenem biosynthesis;Metabolic pathways,E: Amino acid transport and metabolism,5.61125382212615e-15,2.0742836670915
OG0000868,Sphingopyxis,D55_vs_D0,3.42500994854898,5.951898389578021e-15,rplA,MULTISPECIES: 50S ribosomal protein L1,K02863,Ribosome,J: Translation;ribosomal structure and biogenesis,5.951898389578021e-15,3.42500994854898
OG0000034,Sphingopyxis,D55_vs_D0,-1.96996006810162,6.03755314806239e-15,cciR,LuxR family transcriptional regulator,K19734;K19731,Quorum sensing,K: Transcription;T: Signal transduction mechanisms,6.03755314806239e-15,1.96996006810162
OG0000355,Sphingopyxis,D55_vs_D0,3.03525775560342,6.3777874186902e-15,rimI,GNAT family N-acetyltransferase,K00657,Arginine and proline metabolism;Ferroptosis;Metabolic pathways,K: Transcription;J: Translation;ribosomal structure and biogenesis;M: Cell wall/membrane/envelope biogenesis,6.3777874186902e-15,3.03525775560342
OG0002291,Sphingopyxis,D55_vs_D0,-2.00260715863894,6.696256771739371e-15,gene1922,GNAT family N-acetyltransferase,,,M: Cell wall/membrane/envelope biogenesis,6.696256771739371e-15,2.00260715863894
OG0000867,Sphingopyxis,D55_vs_D0,3.62919407282756,7.3417908141986e-15,rplJ,50S ribosomal protein L10,K02864,Ribosome,J: Translation;ribosomal structure and biogenesis,7.3417908141986e-15,3.62919407282756
OG0001173,Sphingopyxis,D55_vs_D0,2.79097249033364,7.54522651742334e-15,gene0677,MULTISPECIES: putative DNA modification/repair radical SAM protein,,,S: Function unknown,7.54522651742334e-15,2.79097249033364
OG0001493,Sphingopyxis,D55_vs_D0,-2.11688481801567,7.731895107958791e-15,gene2533,SPOR domain-containing protein,K07126,,D: Cell cycle control;cell division;chromosome partitioning;S: Function unknown;U: Intracellular trafficking;secretion;and vesicular transport,7.731895107958791e-15,2.11688481801567
OG0001754,Sphingopyxis,D55_vs_D0,2.17163746743809,7.77203326640771e-15,mdh,MULTISPECIES: malate dehydrogenase,K00024,Biosynthesis of secondary metabolites;Carbon fixation by Calvin cycle;Carbon metabolism;Citrate cycle (TCA cycle);Cysteine and methionine metabolism;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Methane metabolism;Microbial metabolism in diverse environments;Other carbon fixation pathways;Pyruvate metabolism;Sulfoquinovose metabolism,C: Energy production and conversion,7.77203326640771e-15,2.17163746743809
OG0000686,Sphingopyxis,D55_vs_D0,3.00130399847483,7.831195133472751e-15,rpsI,30S ribosomal protein S9,K02996,Ribosome,J: Translation;ribosomal structure and biogenesis,7.831195133472751e-15,3.00130399847483
OG0001232,Sphingopyxis,D55_vs_D0,2.15893424434753,7.831195133472751e-15,gor,glutathione-disulfide reductase,K00383,Diabetic cardiomyopathy;Glutathione metabolism;Metabolic pathways;Thyroid hormone synthesis,C: Energy production and conversion,7.831195133472751e-15,2.15893424434753
OG0000869,Sphingopyxis,D55_vs_D0,3.30000741505571,9.571592536271311e-15,rplK,50S ribosomal protein L11,K02867,Ribosome,J: Translation;ribosomal structure and biogenesis,9.571592536271311e-15,3.30000741505571
OG0001406,Sphingopyxis,D55_vs_D0,-2.96125595934928,9.571592536271311e-15,putA,bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA,K13821,Alanine;aspartate and glutamate metabolism;Arginine and proline metabolism;Biosynthesis of secondary metabolites;Metabolic pathways,C: Energy production and conversion;E: Amino acid transport and metabolism,9.571592536271311e-15,2.96125595934928
OG0000032,Sphingopyxis,D55_vs_D0,-2.95644022281174,9.571592536271311e-15,slyA,MULTISPECIES: MarR family transcriptional regulator,K06075,,K: Transcription,9.571592536271311e-15,2.95644022281174
OG0000318,Sphingopyxis,D55_vs_D0,2.71843244380847,9.571592536271311e-15,gluP,rhomboid family intramembrane serine protease,K02441;K07059,,S: Function unknown,9.571592536271311e-15,2.71843244380847
OG0001113,Sphingopyxis,D55_vs_D0,2.70263582376658,9.571592536271311e-15,terC,TerC family protein,,,P: Inorganic ion transport and metabolism,9.571592536271311e-15,2.70263582376658
OG0001476,Sphingopyxis,D55_vs_D0,2.5414512757507,9.571592536271311e-15,gene0268,MULTISPECIES: hypothetical protein,,,,9.571592536271311e-15,2.5414512757507
OG0000301,Sphingopyxis,D55_vs_D0,-1.71474605735814,9.76065097233187e-15,eutP,ethanolamine permease,K16238;K03758;K03294,,E: Amino acid transport and metabolism,9.76065097233187e-15,2.57208122698948
OG0000804,Sphingopyxis,D55_vs_D0,2.46284548091817,1.07564484729864e-14,alaS,alanine--tRNA ligase,K01872,Aminoacyl-tRNA biosynthesis,J: Translation;ribosomal structure and biogenesis,1.07564484729864e-14,2.46284548091817
OG0000699,Sphingopyxis,D55_vs_D0,3.17444871064795,1.07749737520655e-14,pth,MULTISPECIES: aminoacyl-tRNA hydrolase,K01056,,J: Translation;ribosomal structure and biogenesis,1.07749737520655e-14,3.17444871064795
OG0000777,Sphingopyxis,D55_vs_D0,2.31303640223519,1.07749737520655e-14,rpsC,MULTISPECIES: 30S ribosomal protein S3,K02982,Ribosome,J: Translation;ribosomal structure and biogenesis,1.07749737520655e-14,2.31303640223519
OG0001726,Sphingopyxis,D55_vs_D0,3.22696638997051,1.1292047961996e-14,mepM,hypothetical protein,,,M: Cell wall/membrane/envelope biogenesis,1.1292047961996e-14,3.22696638997051
OG0000685,Sphingopyxis,D55_vs_D0,2.72538145098869,1.34930716555547e-14,rplM,50S ribosomal protein L13,K02871,Ribosome,J: Translation;ribosomal structure and biogenesis,1.34930716555547e-14,2.72538145098869
OG0000780,Sphingopyxis,D55_vs_D0,2.39638259301657,1.45632359341988e-14,rplB,MULTISPECIES: 50S ribosomal protein L2,K02886,Ribosome,J: Translation;ribosomal structure and biogenesis,1.45632359341988e-14,2.39638259301657
OG0000096,Sphingopyxis,D55_vs_D0,2.68241739268589,1.71731474045635e-14,czcB,efflux RND transporter periplasmic adaptor subunit,K07798;K15727,Two-component system,M: Cell wall/membrane/envelope biogenesis;P: Inorganic ion transport and metabolism,1.71731474045635e-14,2.68241739268589
OG0000130,Sphingopyxis,D55_vs_D0,2.33296056521503,1.77598851952654e-14,czcC,MULTISPECIES: TolC family protein,K15725;K07796,Two-component system,M: Cell wall/membrane/envelope biogenesis;U: Intracellular trafficking;secretion;and vesicular transport,1.77598851952654e-14,2.33296056521503
OG0001401,Sphingopyxis,D55_vs_D0,1.86862482218369,1.77598851952654e-14,rimP,ribosome maturation protein RimP,K09748,,S: Function unknown,1.77598851952654e-14,1.86862482218369
OG0000736,Sphingopyxis,D55_vs_D0,3.52127531869572,1.85019484838559e-14,mtgA,monofunctional biosynthetic peptidoglycan transglycosylase,K03814,Metabolic pathways;Peptidoglycan biosynthesis,M: Cell wall/membrane/envelope biogenesis,1.85019484838559e-14,3.52127531869572
OG0001899,Sphingopyxis,D55_vs_D0,-3.60537161810549,1.88666016188109e-14,eamB,MULTISPECIES: LysE family translocator,K11249,,E: Amino acid transport and metabolism,1.88666016188109e-14,3.60537161810549
OG0000374,Sphingopyxis,D55_vs_D0,1.88312133372826,2.09341692383557e-14,fusA,elongation factor G,K02355,,J: Translation;ribosomal structure and biogenesis,2.09341692383557e-14,1.88312133372826
OG0001278,Sphingopyxis,D55_vs_D0,-6.71154486544527,2.10620582495245e-14,aceA,MULTISPECIES: isocitrate lyase,K01637,Biosynthesis of secondary metabolites;Carbon metabolism;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Propanoate metabolism,C: Energy production and conversion,2.10620582495245e-14,6.71154486544527
OG0002248,Sphingopyxis,D55_vs_D0,-2.57659279637707,2.10895563263813e-14,gene1997,toxic anion resistance protein,,,P: Inorganic ion transport and metabolism,2.10895563263813e-14,2.57659279637707
OG0000720,Sphingopyxis,D55_vs_D0,1.8225330289818,2.10895563263813e-14,lysC,MULTISPECIES: aspartate kinase,K00928,2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Cysteine and methionine metabolism;Glycine;serine and threonine metabolism;Lysine biosynthesis;Metabolic pathways;Microbial metabolism in diverse environments;Monobactam biosynthesis,E: Amino acid transport and metabolism,2.10895563263813e-14,1.8225330289818
OG0000288,Sphingopyxis,D55_vs_D0,2.30545146006769,2.14419657971608e-14,rhlI,autoinducer synthase,K18096,Quorum sensing,H: Coenzyme transport and metabolism,2.14419657971608e-14,2.30545146006769
OG0002265,Sphingopyxis,D55_vs_D0,-2.38496514414191,2.23841868822663e-14,gene0030,hypothetical protein,,,U: Intracellular trafficking;secretion;and vesicular transport,2.23841868822663e-14,2.38496514414191
OG0001936,Sphingopyxis,D55_vs_D0,-3.71798572437832,2.46241981550929e-14,aaeB,MULTISPECIES: FUSC family protein,,,S: Function unknown,2.46241981550929e-14,3.71798572437832
OG0000624,Sphingopyxis,D55_vs_D0,5.57925847170088,2.64806326543831e-14,ahpC,alkyl hydroperoxide reductase,K24119,,O: Posttranslational modification;protein turnover;chaperones,2.64806326543831e-14,5.57925847170088
OG0001121,Sphingopyxis,D55_vs_D0,2.10050916844691,2.70408111689156e-14,nreA,MULTISPECIES: PA0069 family radical SAM protein,,,L: Replication;recombination and repair,2.70408111689156e-14,2.10050916844691
OG0000728,Sphingopyxis,D55_vs_D0,2.73284762170733,2.81332533543572e-14,gidA,MULTISPECIES: tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,K03495,,D: Cell cycle control;cell division;chromosome partitioning,2.81332533543572e-14,2.73284762170733
OG0000778,Sphingopyxis,D55_vs_D0,2.19796197518215,2.98295692846069e-14,rplV,50S ribosomal protein L22,K02890,Ribosome,J: Translation;ribosomal structure and biogenesis,2.98295692846069e-14,2.39798230351894
OG0000605,Sphingopyxis,D55_vs_D0,2.32743397253883,3.0807360150705e-14,recF,DNA replication and repair protein RecF,K03629,Homologous recombination,L: Replication;recombination and repair,3.0807360150705e-14,2.35797699582692
OG0000439,Sphingopyxis,D55_vs_D0,3.16062168815855,3.14468018344894e-14,chrA,chromate transporter,K07240,,P: Inorganic ion transport and metabolism,3.14468018344894e-14,3.16062168815855
OG0001514,Sphingopyxis,D55_vs_D0,2.25502409020261,3.19318062121373e-14,lexA,MULTISPECIES: S24 family peptidase,,,K: Transcription,3.19318062121373e-14,2.25502409020261
OG0000847,Sphingopyxis,D55_vs_D0,2.30516244885707,3.63078767773153e-14,rpsP,30S ribosomal protein S16,K02959,Ribosome,J: Translation;ribosomal structure and biogenesis,3.63078767773153e-14,2.30516244885707
OG0002169,Sphingopyxis,D55_vs_D0,-2.37604902134913,3.73199979677998e-14,ADD,MULTISPECIES: class II aldolase/adducin family protein,K18622,,G: Carbohydrate transport and metabolism,3.73199979677998e-14,2.37604902134913
OG0002232,Sphingopyxis,D55_vs_D0,-2.97065345146135,4.12636626347713e-14,tgs,wax ester/triacylglycerol synthase family O-acyltransferase,K00635,Biosynthesis of secondary metabolites;Cutin;suberine and wax biosynthesis;Glycerolipid metabolism;Metabolic pathways,Q: Secondary metabolites biosynthesis;transport and catabolism,4.12636626347713e-14,2.97065345146135
OG0000079,Sphingopyxis,D55_vs_D0,2.41603475526655,4.26176844580513e-14,parB,chromosome partitioning protein ParB,K03497,,K: Transcription,4.26176844580513e-14,2.41603475526655
OG0001112,Sphingopyxis,D55_vs_D0,-2.52085459662606,4.45122989832169e-14,amiABC,N-acetylmuramoyl-L-alanine amidase,K01448,Cationic antimicrobial peptide (CAMP) resistance,M: Cell wall/membrane/envelope biogenesis,4.45122989832169e-14,2.52085459662606
OG0001307,Sphingopyxis,D55_vs_D0,2.80482753808954,4.47368620659658e-14,tesB,acyl-CoA thioesterase II,K10805,Biosynthesis of unsaturated fatty acids,I: Lipid transport and metabolism,4.47368620659658e-14,2.80482753808954
OG0000752,Sphingopyxis,D55_vs_D0,-1.96296980199691,4.9974806730324e-14,gene1709,MULTISPECIES: pyridoxamine 5'-phosphate oxidase family protein,,,S: Function unknown,4.9974806730324e-14,2.26780429443788
OG0000220,Sphingopyxis,D55_vs_D0,2.52140079788751,5.29797997677115e-14,dps,MULTISPECIES: Dps family protein,K04047,,P: Inorganic ion transport and metabolism,5.29797997677115e-14,3.58842599539424
OG0000612,Sphingopyxis,D55_vs_D0,2.88464927457908,5.4419792273689e-14,rpsR,30S ribosomal protein S18,K02963,Ribosome,J: Translation;ribosomal structure and biogenesis,5.4419792273689e-14,2.88464927457908
OG0001317,Sphingopyxis,D55_vs_D0,1.87473270180164,5.4419792273689e-14,argJ,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,K00620,2-Oxocarboxylic acid metabolism;Arginine biosynthesis;Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Metabolic pathways,E: Amino acid transport and metabolism,5.4419792273689e-14,1.87473270180164
OG0000913,Sphingopyxis,D55_vs_D0,1.93402496712672,5.65448671506705e-14,guaB,MULTISPECIES: IMP dehydrogenase,K00088,Biosynthesis of secondary metabolites;Drug metabolism - other enzymes;Metabolic pathways;Nucleotide metabolism;Purine metabolism,F: Nucleotide transport and metabolism,5.65448671506705e-14,1.93402496712672
OG0002054,Sphingopyxis,D55_vs_D0,-1.69273033803496,6.063595294214681e-14,phaC,class I poly(R)-hydroxyalkanoic acid synthase,K03821,Butanoate metabolism;Metabolic pathways,I: Lipid transport and metabolism,6.063595294214681e-14,1.69273033803496
OG0000781,Sphingopyxis,D55_vs_D0,2.49330131478719,6.3405657461798e-14,rplW,MULTISPECIES: 50S ribosomal protein L23,K02892,Ribosome,J: Translation;ribosomal structure and biogenesis,6.3405657461798e-14,2.49330131478719
OG0001007,Sphingopyxis,D55_vs_D0,-2.53906958396403,6.76930477239025e-14,ecpA,MULTISPECIES: DUF4402 domain-containing protein,,,S: Function unknown,6.76930477239025e-14,2.53906958396403
OG0000547,Sphingopyxis,D55_vs_D0,-1.89435968597397,7.144983824671941e-14,ggt,gamma-glutamyltransferase,K00681,Cyanoamino acid metabolism;Glutathione metabolism;Metabolic pathways;Taurine and hypotaurine metabolism,M: Cell wall/membrane/envelope biogenesis;E: Amino acid transport and metabolism,7.144983824671941e-14,2.67905846016137
OG0000861,Sphingopyxis,D55_vs_D0,1.95676052974812,8.0810940453491e-14,purE,MULTISPECIES: 5-(carboxyamino)imidazole ribonucleotide mutase,K01588,Biosynthesis of secondary metabolites;Metabolic pathways;Purine metabolism,F: Nucleotide transport and metabolism,8.0810940453491e-14,1.95676052974812
OG0000552,Sphingopyxis,D55_vs_D0,2.80948857634236,8.23378907645346e-14,sdaA,MULTISPECIES: L-serine ammonia-lyase,K01752,Biosynthesis of amino acids;Biosynthesis of secondary metabolites;Carbon metabolism;Cysteine and methionine metabolism;Glycine;serine and threonine metabolism;Metabolic pathways,E: Amino acid transport and metabolism,8.23378907645346e-14,2.80948857634236
OG0000846,Sphingopyxis,D55_vs_D0,2.05613954008034,8.45341802460261e-14,rimM,MULTISPECIES: ribosome maturation factor RimM,K02860,,J: Translation;ribosomal structure and biogenesis,8.45341802460261e-14,2.05613954008034
OG0002026,Sphingopyxis,D55_vs_D0,-1.97079709685697,8.60672306815314e-14,rnj,ribonuclease J,K12574,RNA degradation,S: Function unknown,8.60672306815314e-14,1.97079709685697
OG0000320,Sphingopyxis,D55_vs_D0,-2.27989984156301,9.98944504214527e-14,bkdA,transketolase,K00167;K11381,2-Oxocarboxylic acid metabolism;Biosynthesis of secondary metabolites;Lipoic acid metabolism;Metabolic pathways;Propanoate metabolism;Valine;leucine and isoleucine degradation,C: Energy production and conversion,9.98944504214527e-14,2.27989984156301
OG0002256,Sphingopyxis,D55_vs_D0,-3.56961471824899,1.0027563836449e-13,gene2208,mechanosensitive ion channel,,,M: Cell wall/membrane/envelope biogenesis;S: Function unknown,1.0027563836449e-13,3.56961471824899
OG0001629,Sphingopyxis,D55_vs_D0,-2.83911601101581,1.01227806899813e-13,lpxH,"UDP-2,3-diacylglucosamine hydrolase",K03269,Lipopolysaccharide biosynthesis;Metabolic pathways,S: Function unknown,1.01227806899813e-13,6.13619448792167
OG0000109,Sphingopyxis,D55_vs_D0,1.46643173205248,1.01227806899813e-13,suhB,MULTISPECIES: inositol monophosphatase family protein,K01092;K01082;K05602,Biosynthesis of secondary metabolites;Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system;Streptomycin biosynthesis;Microbial metabolism in diverse environments;Sulfur metabolism;Biosynthesis of amino acids;Histidine metabolism,G: Carbohydrate transport and metabolism;P: Inorganic ion transport and metabolism,1.01227806899813e-13,1.46643173205248
OG0000993,Sphingopyxis,D55_vs_D0,1.96850490341756,1.20985304033857e-13,gene3713,MULTISPECIES: TorF family putative porin,,,S: Function unknown,1.20985304033857e-13,1.96850490341756
